t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
0,0.010272,0.926469,0,0.134846,2,0.000032,0,0.129746,1.320000,0,0.100000,0.493788,0,0,0,1,stable
0.100000,0.413485,0.928852,0,0.118696,2,0.000038,1.795323,0.114424,1.320000,0,0.173346,0.000000,1.795323,0,0,1,stable
0.200000,0.343662,0.926365,0.000000,0.100774,2,0.000034,1.964867,0.097257,1.320000,0,0.171053,0.000000,1.964867,17.953226,0,1,stable
0.300000,0.075169,0.916137,0.000000,0.111405,1,0.000034,1.663984,0.107583,1.320000,0,0.100000,0.000000,1.663984,1.695448,0,1,stable
0.400000,-0.030372,0.899078,0.000000,0.127091,1,0.000034,1.773593,0.122762,1.320000,47.029826,0.100000,0.000000,1.773593,-3.008837,0,1,stable
0.500000,0.061437,0.880554,0.000000,0.142690,2,0.000034,1.719711,0.137836,1.320000,216.054513,0.100000,0.000000,1.719711,1.096089,0,1,stable
0.600000,0.012130,0.868472,-0.000000,0.157489,2,0.000034,1.659563,0.152117,1.320000,301.283819,0.100000,0.000000,1.659563,-0.538817,0,1,stable
0.700000,-0.021444,0.869010,0.000000,0.171101,2,0.000036,1.602351,0.165230,1.320000,199.293809,0.100000,0.000000,1.602351,-0.601477,0,1,stable
0.800000,0.216824,0.882722,0.000000,0.183297,2,0.000037,1.550397,0.176952,1.320000,187.119911,0.167053,0.000000,1.550397,-0.572127,0,1,stable
0.900000,0.376469,0.904370,-0.000000,0.193987,2,0.000036,1.504881,0.187196,1.320000,245.976046,0.172123,0.000000,1.504881,-0.519534,0,1,stable
1,0.220240,0.926469,0.000000,0.203195,2,0.000036,1.466092,0.195989,1.320000,190.753370,0.669769,0.000000,1.880095,-0.455161,0,6.053654,chronique
1.100000,0.005284,0.943205,0.000000,0.211016,2,0.000038,1.433711,0.203427,1.320000,190.823408,0.661051,0.000000,1.844594,-0.387893,0,5.500715,chronique
1.200000,-0.014634,0.952136,0.000000,0.217588,2,0.000038,1.407080,0.209651,1.320000,173.354955,0.593302,0.000000,1.844594,-0.323806,0,6.053654,chronique
1.300000,-0.052071,0.953688,0.000000,0.223064,2,0.000038,1.385398,0.214813,1.320000,187.457300,0.574916,0.000000,1.844594,-0.266313,0,6.730180,chronique
1.400000,-0.370736,0.949772,-0.000000,0.227596,2,0.000037,1.367857,0.219067,1.320000,165.113607,0.424539,0.000000,1.844594,-0.216814,0,7.285515,chronique
1.500000,-0.705352,0.942661,-0.000000,0.231327,2,0.000038,1.353708,0.222555,1.320000,159.066392,0.526153,0.000000,1.844594,-0.175412,0,6.730180,chronique
1.600000,-0.509969,0.934548,-0.000000,0.234384,2,0.000037,1.342295,0.225401,1.320000,147.011740,0.632395,0.000000,1.813373,-0.141494,0,10.326748,stable
1.700000,0.154984,0.927558,-0.000000,0.236875,2,0.000037,1.333066,0.227712,1.320000,243.733323,0.571088,0.000000,1.813373,-0.114125,0,9.383506,stable
1.800000,0.447551,0.923592,-0.000000,0.238891,2,0.000037,1.325562,0.229576,1.320000,337.572747,0.628105,0.000000,1.813373,-0.092292,0,6.129409,stable
1.900000,-0.087458,0.923588,0.000000,0.240507,2,0.000036,1.319411,0.231067,1.320000,279.217334,0.645684,0.000000,1.813373,-0.075036,0,4.551128,stable
2,-0.789609,0.926469,0.000000,0.241784,2,0.000038,1.314308,0.232242,1.320000,460.461035,0.644155,0.000000,1.813373,-0.061517,0,5.818733,stable
2.100000,-0.734708,0.928852,-0.000000,0.242770,2,0.000034,1.310008,0.233148,1.320000,423.199280,0.722367,0.000000,1.783496,-0.051027,0,5.094779,stable
2.200000,-0.252631,0.926365,-0.000000,0.243502,2,0.000034,1.306311,0.233818,1.320000,516.835178,0.569558,0.000000,1.783496,-0.042996,0,4.247401,stable
2.300000,-0.161863,0.916137,-0.000000,0.244006,2,0.000034,1.303049,0.234280,1.320000,560.126505,0.598470,0.000000,1.783496,-0.036974,0,3.641702,stable
2.400000,-0.199863,0.899078,-0.000000,0.244301,2,0.000035,1.300081,0.234550,1.320000,503.398575,0.606638,0.000000,1.783496,-0.032619,0,4.170250,stable
2.500000,0.123358,0.880554,-0.000000,0.244399,2,0.000035,1.297282,0.234639,1.320000,481.891256,0.602689,0.000000,1.783496,-0.029681,0,3.950751,stable
2.600000,0.133055,0.868472,-0.000000,0.244301,2,0.000034,1.297282,0.234550,1.320000,479.862896,0.653846,0.000000,1.762840,-0.027994,0,4.365791,stable
2.700000,-0.293421,0.869010,0.000000,0.244006,2,0.000037,1.300088,0.234280,1.320000,449.792599,0.698433,0.000000,1.762840,0.000007,0,4.878270,stable
2.800000,-0.280772,0.882722,0.000000,0.243502,2,0.000037,1.303069,0.233818,1.320000,473.108119,0.682637,0.000000,1.762840,0.028054,0,4.365791,stable
2.900000,0.253307,0.904370,-0.000000,0.242770,2,0.000037,1.306353,0.233148,1.320000,454.804234,0.633408,0.000000,1.762840,0.029811,0,3.950751,stable
3,0.466005,0.926469,-0.000000,0.241784,2,0.000036,1.310084,0.232242,1.320000,508.860365,0.704228,0.000000,1.762840,0.032838,0,3.789937,stable
3.100000,0.200592,0.943205,0.000000,0.240507,2,0.000037,1.314436,0.231067,1.320000,460.666898,0.723207,0.000000,1.739913,0.037317,0,3.641702,stable
3.200000,0.113094,0.952136,0.000000,0.238891,2,0.000037,1.319618,0.229576,1.320000,488.174407,0.672623,0.000000,1.739913,0.043520,0,3.783318,stable
3.300000,0.544835,0.953688,0.000000,0.236875,2,0.000036,1.325889,0.227712,1.320000,455.588596,0.670971,0.000000,1.739913,0.051818,0,3.936394,stable
3.400000,0.877987,0.949772,0.000000,0.234384,2,0.000036,1.333572,0.225401,1.320000,492.332453,0.737369,0.000000,1.739913,0.062708,0,3.783318,stable
3.500000,0.468756,0.942661,0.000000,0.231327,2,0.000037,1.343072,0.222555,1.320000,457.088249,0.740453,0.000000,1.739913,0.076831,0,4.049305,stable
