event_type,t_start,t_end,metric,value,severity
anomaly,87,89,S(t),4.415647,medium
anomaly,91,94,S(t),5.249796,medium
anomaly,92,94,S(t),4.823477,medium
anomaly,187,189,S(t),4.415647,medium
anomaly,191,194,S(t),5.249796,medium
anomaly,192,194,S(t),4.823477,medium
anomaly,287,289,S(t),4.415647,medium
anomaly,291,294,S(t),5.249796,medium
anomaly,292,294,S(t),4.823477,medium
anomaly,387,389,S(t),4.415647,medium
anomaly,391,394,S(t),5.249796,medium
anomaly,392,394,S(t),4.823477,medium
anomaly,487,489,S(t),4.415647,medium
anomaly,491,494,S(t),5.249796,medium
anomaly,492,494,S(t),4.823477,medium
harmonic_emergence,10,103,S(t),1,low
harmonic_emergence,20,113,S(t),1,low
harmonic_emergence,30,123,S(t),1,low
harmonic_emergence,40,133,S(t),2,medium
harmonic_emergence,80,173,S(t),1,low
harmonic_emergence,90,183,S(t),1,low
harmonic_emergence,100,193,S(t),2,medium
harmonic_emergence,110,203,S(t),1,low
harmonic_emergence,120,213,S(t),1,low
harmonic_emergence,130,223,S(t),1,low
harmonic_emergence,140,233,S(t),2,medium
harmonic_emergence,180,273,S(t),1,low
harmonic_emergence,190,283,S(t),1,low
harmonic_emergence,200,293,S(t),2,medium
harmonic_emergence,210,303,S(t),1,low
harmonic_emergence,220,313,S(t),1,low
harmonic_emergence,230,323,S(t),1,low
harmonic_emergence,240,333,S(t),2,medium
harmonic_emergence,280,373,S(t),1,low
harmonic_emergence,290,383,S(t),1,low
harmonic_emergence,300,393,S(t),2,medium
harmonic_emergence,310,403,S(t),1,low
harmonic_emergence,320,413,S(t),1,low
harmonic_emergence,330,423,S(t),1,low
harmonic_emergence,340,433,S(t),2,medium
harmonic_emergence,380,473,S(t),1,low
harmonic_emergence,390,483,S(t),1,low
harmonic_emergence,400,493,S(t),2,medium
phase_cycle,40,63,S(t),23,medium
phase_cycle,140,163,S(t),23,medium
phase_cycle,240,263,S(t),23,medium
phase_cycle,340,363,S(t),23,medium
phase_cycle,440,463,S(t),23,medium
