t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
0,-0.000012,0.926469,0,0.000870,0,0.000017,0,0.000396,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable
0.100000,0.001529,0.928852,0,0.001185,0,0.000017,1.589053,0.000542,1.348769,0,0.100000,0.000000,1.589053,0,0,1,1,stable
0.200000,0.003378,0.926365,-0.000000,0.001582,0,0.000015,1.572487,0.000726,1.356829,0,0.100000,0.000000,1.572487,15.890532,0,1,1,stable
0.300000,0.004567,0.916137,-0.000000,0.002063,0,0.000014,1.553142,0.000951,1.363293,0.000000,0.100000,0.000000,1.553142,-0.165666,0,1,1,stable
0.400000,0.004230,0.899078,-0.000000,0.002631,0,0.000015,1.531704,0.001219,1.367475,0.000370,0.100000,0.000000,1.531704,-0.193446,0,1,1,stable
0.500000,0.002333,0.880554,-0.000000,0.003280,0,0.000015,1.509106,0.001527,1.368921,0.001834,0.100000,0.000000,1.509106,-0.214384,0,1,1,stable
0.600000,-0.000406,0.868472,-0.000000,0.004002,0,0.000015,1.492234,0.001873,1.367475,0.002961,0.100000,0.000000,1.492234,-0.225977,0,1,1,stable
0.700000,-0.003572,0.869010,-0.000000,0.004786,0,0.000015,1.481589,0.002252,1.363293,0.002998,0.100000,0.000000,1.481589,-0.168718,0,1,1,stable
0.800000,-0.007570,0.882722,0.000000,0.005618,0,0.000015,1.471186,0.002658,1.356829,0.002887,0.100000,0.000000,1.471186,-0.106454,0,1,1,stable
0.900000,-0.012452,0.904370,0.000000,0.006488,0,0.000014,1.460813,0.003088,1.348769,0.002403,0.100000,0.000000,1.460813,-0.104026,0,1,1,stable
1,-0.016903,0.926469,0.000000,0.007385,0,0.000015,1.450272,0.003537,1.339942,0.002146,0.429926,0.000000,1.580770,-0.103729,0,3.583357,1,stable
1.100000,-0.019211,0.943205,0.000000,0.008302,0,0.000015,1.439426,0.004002,1.331227,0.002832,0.451735,0.000000,1.571561,-0.105416,0,4.731889,1,chronique
1.200000,-0.018749,0.952136,0.000000,0.009232,0,0.000015,1.428239,0.004480,1.323459,0.006735,0.391109,0.000000,1.571561,-0.108459,0,4.924435,1,stable
1.300000,-0.015960,0.953688,0.000000,0.010170,0,0.000015,1.416789,0.004970,1.317356,0.011940,0.317624,0.000000,1.571561,-0.111871,0,4.541396,1,stable
1.400000,-0.011180,0.949772,0.000000,0.011115,0,0.000015,1.405270,0.005470,1.313467,0.014803,0.208252,0.000000,1.571561,-0.114494,0,4.367425,1,stable
1.500000,-0.003796,0.942661,0.000000,0.012064,0,0.000015,1.393969,0.005981,1.312132,0.016155,0.109162,0.000000,1.571561,-0.115191,0,4.206291,1,stable
1.600000,0.007224,0.934548,0.000000,0.013016,0,0.000015,1.388838,0.006503,1.313467,0.018078,0.067468,0.000000,1.561596,-0.113009,0,4.367425,1,stable
