t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t)
0,-0.000001,0.926469,0,0.000870,0,0.000020,0,0.000396,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000
0.100000,0.000034,0.928852,0,0.001185,0,0.000018,1.589053,0.000542,1.348769,0,0.100000,0.469099,1.589053,0,0,1,1,stable,0.469099,0.000000,0.000000
0.200000,0.000067,0.926365,-0.000000,0.001582,0,0.000018,1.572487,0.000726,1.356829,0,0.100000,0.445644,1.572487,15.890532,0,1,1,stable,0.445644,0.000000,0.000000
0.300000,0.000080,0.916137,-0.000000,0.002063,0,0.000018,1.553142,0.000951,1.363293,0.000000,0.100000,0.423362,1.553142,-0.165666,0,1,1,stable,0.423362,0.000000,0.000000
0.400000,0.000063,0.899078,-0.000000,0.002631,0,0.000018,1.531704,0.001219,1.367475,0.000000,0.100000,0.402194,1.531704,-0.193446,0,1,1,stable,0.402194,0.000000,0.000000
0.500000,0.000028,0.880554,-0.000000,0.003280,0,0.000019,1.509106,0.001527,1.368921,0.000001,0.100000,0.382084,1.509106,-0.214384,0,1,1,stable,0.382084,0.000000,0.000000
0.600000,-0.000006,0.868472,-0.000000,0.004002,0,0.000019,1.492234,0.001873,1.367475,0.000001,0.100000,0.362980,1.492234,-0.225977,0,1,1,stable,0.362980,-0.000000,0.000000
0.700000,-0.000038,0.869010,-0.000000,0.004786,0,0.000021,1.481589,0.002252,1.363293,0.000001,0.100000,0.344831,1.481589,-0.168718,0,1,1,stable,0.344831,-0.000000,0.000000
0.800000,-0.000084,0.882722,0.000000,0.005618,0,0.000019,1.471186,0.002658,1.356829,0.000001,0.100000,0.327589,1.471186,-0.106454,0,1,1,stable,0.327589,-0.000000,0.000000
0.900000,-0.000142,0.904370,0.000000,0.006488,0,0.000018,1.460813,0.003088,1.348769,0.000001,0.100000,0.311210,1.460813,-0.104026,0,1,1,stable,0.311210,-0.000000,0.000000
1,-0.000188,0.926469,0.000000,0.007385,0,0.000018,1.450272,0.003537,1.339942,0.000001,0.348402,0.295649,1.580770,-0.103729,0,2.799223,1,stable,0.295649,-0.000000,0.000000
1.100000,-0.000194,0.943205,0.000000,0.008302,0,0.000018,1.439426,0.004002,1.331227,0.000001,0.381100,0.280867,1.571561,-0.105416,0,2.957272,1,chronique,0.280867,-0.000000,0.000000
1.200000,-0.000166,0.952136,0.000000,0.009232,0,0.000018,1.428239,0.004480,1.323459,0.000002,0.302932,0.266823,1.571561,-0.108459,0,2.973500,1,stable,0.266823,-0.000000,0.000000
1.300000,-0.000121,0.953688,0.000000,0.010170,0,0.000020,1.416789,0.004970,1.317356,0.000003,0.204955,0.253482,1.571561,-0.111871,0,2.889320,1,stable,0.253482,-0.000000,0.000000
1.400000,-0.000075,0.949772,0.000000,0.011115,0,0.000018,1.405270,0.005470,1.313467,0.000003,0.099924,0.240808,1.571561,-0.114494,0,2.637717,1,stable,0.240808,-0.000000,0.000000
1.500000,-0.000032,0.942661,0.000000,0.012064,0,0.000018,1.393969,0.005981,1.312132,0.000003,0.045322,0.228768,1.571561,-0.115191,0,2.606214,1,stable,0.228768,-0.000000,0.000000
1.600000,0.000007,0.934548,0.000000,0.013016,0,0.000018,1.388838,0.006503,1.313467,0.000002,0.045273,0.217329,1.561596,-0.113009,0,2.740475,1,stable,0.217329,0.000000,0.000000
1.700000,0.000048,0.927558,0.000000,0.013970,0,0.000018,1.389725,0.007034,1.317356,0.000002,0.098964,0.206463,1.561596,-0.051312,0,2.889320,1,stable,0.206463,0.000000,0.000000
1.800000,0.000082,0.923592,-0.000000,0.014926,0,0.000022,1.390413,0.007575,1.323459,0.000002,0.160017,0.196140,1.561596,0.008867,0,2.973500,1,stable,0.196140,0.000000,0.000000
1.900000,0.000090,0.923588,-0.000000,0.015882,0,0.000019,1.390369,0.008127,1.331227,0.000002,0.213666,0.186333,1.561596,0.006880,0,2.889320,1,stable,0.186333,0.000000,0.000000
2,0.000062,0.926469,-0.000000,0.016838,0,0.000020,1.389178,0.008688,1.339942,0.000002,0.231340,0.177016,1.561596,-0.000432,0,2.740475,1,stable,0.177016,0.000000,0.000000
2.100000,-0.000015,0.928852,-0.000000,0.017794,0,0.000021,1.386569,0.009260,1.348769,0.000002,0.240834,0.168165,1.551098,-0.011912,0,2.889320,1,stable,0.168165,-0.000000,0.000000
2.200000,-0.000138,0.926365,-0.000000,0.018748,0,0.000019,1.382441,0.009840,1.356829,0.000003,0.294728,0.159757,1.551098,-0.026094,0,2.973500,1,stable,0.159757,-0.000000,0.000000
2.300000,-0.000228,0.916137,-0.000000,0.019699,0,0.000018,1.376877,0.010430,1.363293,0.000004,0.486697,0.151769,1.551098,-0.041279,0,2.889320,1,stable,0.151769,-0.000000,0.000000
2.400000,-0.000214,0.899078,0.000000,0.020644,0,0.000018,1.370138,0.011027,1.367475,0.000003,0.538230,0.144181,1.551098,-0.055640,0,3.219810,1,stable,0.144181,-0.000000,0.000000
2.500000,-0.000137,0.880554,0.000000,0.021583,0,0.000019,1.362636,0.011631,1.368921,0.000006,0.422758,0.136972,1.551098,-0.067395,0,3.062066,1,stable,0.136972,-0.000000,0.000000
2.600000,-0.000077,0.868472,0.000000,0.022512,0,0.000018,1.360699,0.012241,1.367475,0.000007,0.283095,0.130123,1.541288,-0.075018,0,2.952674,1,stable,0.130123,-0.000000,0.000000
2.700000,-0.000064,0.869010,0.000000,0.023429,0,0.000018,1.364306,0.012855,1.363293,0.000007,0.226970,0.123617,1.541288,-0.019364,0,2.975361,1,stable,0.123617,-0.000000,0.000000
2.800000,-0.000041,0.882722,0.000000,0.024329,0,0.000018,1.367041,0.013471,1.356829,0.000007,0.213493,0.117436,1.541288,0.036062,0,3.018091,1,stable,0.117436,-0.000000,0.000000
2.900000,0.000006,0.904370,0.000000,0.025207,0,0.000018,1.368387,0.014086,1.348769,0.000007,0.232525,0.111564,1.541288,0.027352,0,3.062066,1,stable,0.111564,0.000000,0.000000
3,0.000021,0.926469,-0.000000,0.026058,0,0.000018,1.367967,0.014695,1.339942,0.000006,0.279051,0.105986,1.541288,0.013460,0,3.219810,1,stable,0.105986,0.000000,0.000000
3.100000,0.000014,0.943205,-0.000000,0.026875,0,0.000018,1.365573,0.015296,1.331227,0.000006,0.336227,0.100687,1.532759,-0.004195,0,3.394690,1,stable,0.100687,0.000000,0.000000
3.200000,-0.000002,0.952136,-0.000000,0.027647,0,0.000019,1.361164,0.015882,1.323459,0.000006,0.375454,0.095652,1.532759,-0.023940,0,3.476777,1,stable,0.095652,0.000000,0.000000
3.300000,-0.000028,0.953688,-0.000000,0.028363,0,0.000019,1.354846,0.016445,1.317356,0.000006,0.412556,0.090870,1.532759,-0.044094,0,3.562932,1,stable,0.090870,0.000000,0.000000
3.400000,-0.000031,0.949772,-0.000000,0.029009,0,0.000019,1.346838,0.016977,1.313467,0.000006,0.431744,0.086326,1.532759,-0.063180,0,3.580595,1,stable,0.086326,0.000000,0.000000
3.500000,0.000001,0.942661,-0.000000,0.029566,0,0.000020,1.337424,0.017467,1.312132,0.000006,0.441617,0.082010,1.532759,-0.080081,0,3.598434,1,stable,0.082010,0.000000,0.000000
3.600000,0.000012,0.934548,-0.000000,0.030013,3,0.000018,1.332504,0.017899,1.313467,0.000006,0.443045,0.077910,1.525062,-0.094134,0,3.626009,1,stable,0.077910,0.000000,0.000000
3.700000,-0.000018,0.927558,-0.000000,0.030325,3,0.000021,1.331804,0.018256,1.317356,0.000006,0.454659,0.074014,1.525062,-0.049209,0,3.654010,1,stable,0.074014,-0.000000,0.000000
3.800000,-0.000106,0.923592,-0.000000,0.030469,3,0.000021,1.328912,0.018518,1.323459,0.000006,0.451355,0.070313,1.525062,-0.006997,0,4.135456,1,stable,0.070313,-0.000000,0.000000
3.900000,-0.000230,0.923588,0.000000,0.030411,3,0.000021,1.334815,0.018660,1.331227,0.000006,0.464065,0.066798,1.525062,-0.028920,0,3.654010,1,stable,0.066798,-0.000000,0.000000
4,-0.000222,0.926469,0.000000,0.030115,0,0.000021,1.341437,0.018654,1.339942,0.000006,0.475721,0.063458,1.525062,0.059034,0,3.661933,1,stable,0.063458,-0.000000,0.000000
4.100000,-0.000063,0.928852,0.000000,0.029544,0,0.000020,1.346678,0.018473,1.348769,0.000008,0.403987,0.060285,1.517924,0.066216,0,3.634085,1,stable,0.060285,-0.000000,0.000000
4.200000,0.000004,0.926365,0.000000,0.028667,0,0.000018,1.353484,0.018089,1.356829,0.000012,0.351316,0.057271,1.517924,0.052413,0,3.651958,1,stable,0.057271,0.000000,0.000000
4.300000,-0.000005,0.916137,0.000000,0.027462,0,0.000018,1.367222,0.017483,1.363293,0.000010,0.365239,0.054407,1.517924,0.068059,0,3.670008,1,stable,0.054407,0.000000,0.000000
4.400000,-0.000009,0.899078,0.000000,0.025929,0,0.000018,1.383910,0.016646,1.367475,0.000011,0.380695,0.051687,1.517924,0.137382,0,3.680082,1,stable,0.051687,0.000000,0.000000
4.500000,-0.000020,0.880554,-0.000000,0.024091,0,0.000019,1.406477,0.015584,1.368921,0.000010,0.412288,0.049102,1.517924,0.166873,0,3.690211,1,stable,0.049102,0.000000,0.000000
