t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000001,0.926469,0,0.001002,0,0.000021,0,0.000457,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000,0.100000,0.000457,1.339942
0.100000,0.000044,0.928852,0,0.001498,0,0.000021,0.368118,0.000690,1.348769,0,0.100000,0.469099,0.368118,0,0,1,1,stable,0.469099,0.000000,0.000000,0.120927,0.000690,1.348769
0.200000,0.000095,0.926365,-0.000000,0.002155,0,0.000020,0.347910,0.001007,1.356829,0,0.100000,0.445644,0.347910,3.681184,0,1,1,stable,0.445644,0.000000,0.000000,0.141753,0.001007,1.356829
0.300000,0.000118,0.916137,-0.000000,0.002993,0,0.000019,0.329802,0.001426,1.363293,0,0.100000,0.423362,0.329802,-0.202086,0,1,1,stable,0.423362,0.000000,0.000000,0.162379,0.001426,1.363293
0.400000,0.000083,0.899078,-0.000000,0.004030,0,0.000020,0.314183,0.001968,1.367475,0.000000,0.100000,0.402194,0.314183,-0.181079,0,1,1,stable,0.402194,0.000000,0.000000,0.182707,0.001968,1.367475
0.500000,0.000011,0.880554,-0.000000,0.005281,0,0.000020,0.301549,0.002656,1.368921,0.000002,0.100000,0.382084,0.301549,-0.156186,0,1,1,stable,0.382084,0.000000,0.000000,0.202643,0.002656,1.368921
0.600000,-0.000026,0.868472,-0.000000,0.006756,0,0.000019,0.298290,0.003515,1.367475,0.000003,0.100000,0.362980,0.298290,-0.126341,0,1,1,stable,0.362980,-0.000000,0.000000,0.222096,0.003515,1.367475
0.700000,-0.000023,0.869010,-0.000000,0.008464,0,0.000020,0.304452,0.004577,1.363293,0.000004,0.100000,0.344831,0.304452,-0.032595,0,1,1,stable,0.344831,-0.000000,0.000000,0.240981,0.004577,1.363293
0.800000,-0.000097,0.882722,0.000000,0.010413,0,0.000019,0.313727,0.005874,1.356829,0.000006,0.100000,0.327589,0.313727,0.061622,0,1,1,stable,0.327589,-0.000000,0.000000,0.259218,0.005874,1.356829
0.900000,-0.000310,0.904370,0.000000,0.012616,0,0.000019,0.325766,0.007446,1.348769,0.000005,0.100000,0.311210,0.325766,0.092754,0,1,1,stable,0.311210,-0.000000,0.000000,0.276734,0.007446,1.348769
1,-0.000521,0.926469,0.000000,0.015087,0,0.000019,0.340452,0.009332,1.339942,0.000012,0.624450,0.295649,0.358014,0.120388,0,4.900256,1,stable,0.295649,-0.000000,0.000000,0.293459,0.009332,1.339942
1.100000,-0.000486,0.943205,0.000000,0.017844,0,0.000020,0.357961,0.011579,1.331227,0.000010,0.648561,0.280867,0.352160,0.146862,0,6.285899,1,stable,0.280867,-0.000000,0.000000,0.309334,0.011579,1.331227
1.200000,-0.000289,0.952136,0.000000,0.020910,0,0.000020,0.378802,0.014231,1.323459,0.000039,0.463706,0.266823,0.357997,0.175091,0,5.866102,1,stable,0.266823,-0.000000,0.000000,0.324303,0.014231,1.323459
1.300000,-0.000206,0.953688,0.000000,0.024311,3,0.000019,0.403850,0.017334,1.317356,0.000052,0.319040,0.253482,0.368294,0.208404,0,5.498867,1,stable,0.253482,-0.000000,0.000000,0.338318,0.017334,1.317356
1.400000,-0.000336,0.949772,0.000000,0.028073,3,0.000020,0.434400,0.020930,1.313467,0.000043,0.267393,0.240808,0.383590,0.250483,0,5.424643,1,stable,0.240808,-0.000000,0.000000,0.351335,0.020930,1.313467
1.500000,-0.000729,0.942661,0.000000,0.032222,3,0.000019,0.472243,0.025056,1.312132,0.000058,0.336665,0.228768,0.405684,0.305496,0,5.352397,1,stable,0.228768,-0.000000,0.000000,0.363320,0.025056,1.312132
1.600000,-0.000938,0.934548,0.000000,0.036779,3,0.000020,0.525405,0.029734,1.313467,0.000086,0.574132,0.217329,0.422324,0.378432,0,6.773966,1,stable,0.217329,-0.000000,0.000000,0.374240,0.029734,1.313467
1.700000,-0.000017,0.927558,-0.000000,0.041759,3,0.000019,0.596627,0.034977,1.317356,0.000075,0.656774,0.206463,0.458974,0.531621,0,7.958262,1,stable,0.206463,0.000000,0.000000,0.384069,0.034977,1.317356
1.800000,0.000887,0.923592,-0.000000,0.047170,1,0.000019,0.683754,0.040777,1.323459,0.000463,0.626295,0.196140,0.507169,0.712223,0,8.717832,1,stable,0.196140,0.000000,0.000000,0.392784,0.040777,1.323459
1.900000,0.000354,0.923588,-0.000000,0.053004,1,0.000020,0.791953,0.047109,1.331227,0.000326,0.737832,0.186333,0.569507,0.871269,0,7.958262,1,stable,0.186333,0.000000,0.000000,0.400369,0.047109,1.331227
