event_type,t_start,t_end,metric,value,severity
anomaly,87,89,S(t),4.415647,medium
anomaly,91,94,S(t),5.249796,medium
anomaly,92,94,S(t),4.823477,medium
anomaly,187,189,S(t),4.415647,medium
anomaly,191,194,S(t),5.249796,medium
anomaly,192,194,S(t),4.823477,medium
anomaly,287,289,S(t),4.415647,medium
anomaly,291,294,S(t),5.249796,medium
anomaly,292,294,S(t),4.823477,medium
anomaly,387,389,S(t),4.415647,medium
anomaly,391,394,S(t),5.249796,medium
anomaly,392,394,S(t),4.823477,medium
anomaly,487,489,S(t),4.415647,medium
anomaly,491,494,S(t),5.249796,medium
anomaly,492,494,S(t),4.823477,medium
anomaly,587,589,S(t),4.415647,medium
anomaly,591,594,S(t),5.249796,medium
anomaly,592,594,S(t),4.823477,medium
anomaly,687,689,S(t),4.415647,medium
anomaly,691,694,S(t),5.249796,medium
anomaly,692,694,S(t),4.823477,medium
anomaly,787,789,S(t),4.415647,medium
anomaly,791,794,S(t),5.249796,medium
anomaly,792,794,S(t),4.823477,medium
anomaly,887,889,S(t),4.415647,medium
anomaly,891,894,S(t),5.249796,medium
anomaly,892,894,S(t),4.823477,medium
anomaly,987,989,S(t),4.415647,medium
anomaly,991,994,S(t),5.249796,medium
anomaly,992,994,S(t),4.823477,medium
anomaly,1087,1089,S(t),4.415647,medium
anomaly,1091,1094,S(t),5.249796,medium
anomaly,1092,1094,S(t),4.823477,medium
anomaly,1187,1189,S(t),4.415647,medium
anomaly,1191,1194,S(t),5.249796,medium
anomaly,1192,1194,S(t),4.823477,medium
anomaly,1287,1289,S(t),4.415647,medium
anomaly,1291,1294,S(t),5.249796,medium
anomaly,1292,1294,S(t),4.823477,medium
anomaly,1387,1389,S(t),4.415647,medium
anomaly,1391,1394,S(t),5.249796,medium
anomaly,1392,1394,S(t),4.823477,medium
anomaly,1487,1489,S(t),4.415647,medium
anomaly,1491,1494,S(t),5.249796,medium
anomaly,1492,1494,S(t),4.823477,medium
anomaly,1587,1589,S(t),4.415647,medium
anomaly,1591,1594,S(t),5.249796,medium
anomaly,1592,1594,S(t),4.823477,medium
anomaly,1687,1689,S(t),4.415647,medium
anomaly,1691,1694,S(t),5.249796,medium
anomaly,1692,1694,S(t),4.823477,medium
anomaly,1787,1789,S(t),4.415647,medium
anomaly,1791,1794,S(t),5.249796,medium
anomaly,1792,1794,S(t),4.823477,medium
anomaly,1887,1889,S(t),4.415647,medium
anomaly,1891,1894,S(t),5.249796,medium
anomaly,1892,1894,S(t),4.823477,medium
anomaly,1987,1989,S(t),4.415647,medium
anomaly,1991,1994,S(t),5.249796,medium
anomaly,1992,1994,S(t),4.823477,medium
anomaly,2087,2089,S(t),4.415647,medium
anomaly,2091,2094,S(t),5.249796,medium
anomaly,2092,2094,S(t),4.823477,medium
anomaly,2187,2189,S(t),4.415647,medium
anomaly,2191,2194,S(t),5.249796,medium
anomaly,2192,2194,S(t),4.823477,medium
anomaly,2287,2289,S(t),4.415647,medium
anomaly,2291,2294,S(t),5.249796,medium
anomaly,2292,2294,S(t),4.823477,medium
anomaly,2387,2389,S(t),4.415647,medium
anomaly,2391,2394,S(t),5.249796,medium
anomaly,2392,2394,S(t),4.823477,medium
anomaly,2487,2489,S(t),4.415647,medium
anomaly,2491,2494,S(t),5.249796,medium
anomaly,2492,2494,S(t),4.823477,medium
anomaly,2587,2589,S(t),4.415647,medium
anomaly,2591,2594,S(t),5.249796,medium
anomaly,2592,2594,S(t),4.823477,medium
anomaly,2687,2689,S(t),4.415647,medium
anomaly,2691,2694,S(t),5.249796,medium
anomaly,2692,2694,S(t),4.823477,medium
anomaly,2787,2789,S(t),4.415647,medium
anomaly,2791,2794,S(t),5.249796,medium
anomaly,2792,2794,S(t),4.823477,medium
anomaly,2887,2889,S(t),4.415647,medium
anomaly,2891,2894,S(t),5.249796,medium
anomaly,2892,2894,S(t),4.823477,medium
anomaly,2987,2989,S(t),4.415647,medium
anomaly,2991,2994,S(t),5.249796,medium
anomaly,2992,2994,S(t),4.823477,medium
harmonic_emergence,10,103,S(t),1,low
harmonic_emergence,20,113,S(t),1,low
harmonic_emergence,30,123,S(t),1,low
harmonic_emergence,40,133,S(t),2,medium
harmonic_emergence,80,173,S(t),1,low
harmonic_emergence,90,183,S(t),1,low
harmonic_emergence,100,193,S(t),2,medium
harmonic_emergence,110,203,S(t),1,low
harmonic_emergence,120,213,S(t),1,low
harmonic_emergence,130,223,S(t),1,low
harmonic_emergence,140,233,S(t),2,medium
harmonic_emergence,180,273,S(t),1,low
harmonic_emergence,190,283,S(t),1,low
harmonic_emergence,200,293,S(t),2,medium
harmonic_emergence,210,303,S(t),1,low
harmonic_emergence,220,313,S(t),1,low
harmonic_emergence,230,323,S(t),1,low
harmonic_emergence,240,333,S(t),2,medium
harmonic_emergence,280,373,S(t),1,low
harmonic_emergence,290,383,S(t),1,low
harmonic_emergence,300,393,S(t),2,medium
harmonic_emergence,310,403,S(t),1,low
harmonic_emergence,320,413,S(t),1,low
harmonic_emergence,330,423,S(t),1,low
harmonic_emergence,340,433,S(t),2,medium
harmonic_emergence,380,473,S(t),1,low
harmonic_emergence,390,483,S(t),1,low
harmonic_emergence,400,493,S(t),2,medium
harmonic_emergence,410,503,S(t),1,low
harmonic_emergence,420,513,S(t),1,low
harmonic_emergence,430,523,S(t),1,low
harmonic_emergence,440,533,S(t),2,medium
harmonic_emergence,480,573,S(t),1,low
harmonic_emergence,490,583,S(t),1,low
harmonic_emergence,500,593,S(t),2,medium
harmonic_emergence,510,603,S(t),1,low
harmonic_emergence,520,613,S(t),1,low
harmonic_emergence,530,623,S(t),1,low
harmonic_emergence,540,633,S(t),2,medium
harmonic_emergence,580,673,S(t),1,low
harmonic_emergence,590,683,S(t),1,low
harmonic_emergence,600,693,S(t),2,medium
harmonic_emergence,610,703,S(t),1,low
harmonic_emergence,620,713,S(t),1,low
harmonic_emergence,630,723,S(t),1,low
harmonic_emergence,640,733,S(t),2,medium
harmonic_emergence,680,773,S(t),1,low
harmonic_emergence,690,783,S(t),1,low
harmonic_emergence,700,793,S(t),2,medium
harmonic_emergence,710,803,S(t),1,low
harmonic_emergence,720,813,S(t),1,low
harmonic_emergence,730,823,S(t),1,low
harmonic_emergence,740,833,S(t),2,medium
harmonic_emergence,780,873,S(t),1,low
harmonic_emergence,790,883,S(t),1,low
harmonic_emergence,800,893,S(t),2,medium
harmonic_emergence,810,903,S(t),1,low
harmonic_emergence,820,913,S(t),1,low
harmonic_emergence,830,923,S(t),1,low
harmonic_emergence,840,933,S(t),2,medium
harmonic_emergence,880,973,S(t),1,low
