t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000026,0,0.000457,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.100000,0.100000,0.100000,0.000457,1.339942
0.100000,0.001825,0.992522,0,0.001655,0,0.000023,0.165103,0.000765,1.342872,0,0.100000,0.469062,0.165103,0,0,1,1,stable,0.469099,0.000037,0.100000,0.100000,0.120927,0.000765,1.342872
0.200000,0.005016,0.992728,-0.000000,0.002573,0,0.000022,0.234864,0.001215,1.345525,0,0.100000,0.445545,0.234864,1.651033,0,1,1,stable,0.445647,0.000101,0.100000,0.100000,0.141753,0.001215,1.345525
0.300000,0.008408,0.992063,-0.000002,0.003796,0,0.000022,0.322371,0.001844,1.347639,0.000000,0.100000,0.423203,0.322371,0.697609,0,1,1,stable,0.423373,0.000170,0.100000,0.100000,0.162379,0.001844,1.347639
0.400000,0.009818,0.990669,-0.000005,0.005346,0,0.000022,0.429165,0.002693,1.348999,0.000621,0.100000,0.402020,0.429165,0.875063,0,1,1,stable,0.402218,0.000198,0.100000,0.100000,0.182707,0.002693,1.348999
0.500000,0.008506,0.989045,-0.000010,0.007222,0,0.000022,0.554790,0.003799,1.349468,0.005601,0.100000,0.381952,0.554790,1.067949,0,1,1,stable,0.382123,0.000171,0.100000,0.100000,0.202643,0.003799,1.349468
0.600000,0.006440,0.987842,-0.000015,0.009406,0,0.000022,0.703916,0.005203,1.348999,0.011513,0.100000,0.362901,0.703916,1.256247,0,1,1,stable,0.363031,0.000129,0.100000,0.100000,0.222096,0.005203,1.348999
0.700000,0.003710,0.987566,-0.000015,0.011884,0,0.000022,0.884763,0.006962,1.347639,0.010100,0.100000,0.344814,0.884763,1.491263,0,1,1,stable,0.344889,0.000075,0.100000,0.100000,0.240981,0.006962,1.347639
0.800000,-0.005746,0.988351,-0.000007,0.014678,0,0.000023,1.102038,0.009151,1.345525,0.009108,0.100000,0.327766,1.102038,1.808467,0,1,1,stable,0.327651,-0.000115,0.100000,0.100000,0.259218,0.009151,1.345525
0.900000,-0.026968,0.989907,0.000011,0.017816,0,0.000022,1.138706,0.011819,1.342872,0.022449,0.100000,0.311801,1.138706,2.172745,0,1,1,stable,0.311259,-0.000542,0.100000,0.100000,0.276734,0.011819,1.342872
1,-0.050823,0.991674,0.000026,0.021310,0,0.000022,1.070854,0.014999,1.339942,0.082057,0.657594,0.296676,1.120372,0.366685,0,4.426284,1,stable,0.295652,-0.001024,0.100000,0.100000,0.293459,0.014999,1.339942
1.100000,-0.058054,0.993071,0.000023,0.025294,3,0.000023,1.030049,0.018838,1.337025,0.074580,0.665846,0.281957,1.103866,-0.678517,0,7.892093,1,stable,0.280787,-0.001170,0.100000,0.100000,0.309334,0.018838,1.337025
1.200000,-0.037706,0.993711,0.000012,0.030115,3,0.000023,1.022560,0.023623,1.334404,0.207993,0.521464,0.267413,1.103866,-0.408051,0,7.819984,1,stable,0.266653,-0.000760,0.100000,0.100000,0.324303,0.023623,1.334404
1.300000,-0.007453,0.993500,0.000020,0.036014,3,0.000023,1.006563,0.029520,1.332332,0.612664,0.353720,0.253412,1.103866,-0.074893,0,6.904774,1,stable,0.253259,-0.000153,0.100000,0.100000,0.338318,0.029520,1.332332
1.400000,-0.017027,0.992622,0.000072,0.042688,3,0.000023,0.941308,0.036322,1.331005,0.605377,0.321588,0.240931,1.103866,-0.159974,0,7.320551,1,stable,0.240583,-0.000348,0.100000,0.100000,0.351335,0.036322,1.331005
1.500000,-0.067315,0.991442,0.000138,0.049332,1,0.000023,0.819114,0.043420,1.330548,0.951393,0.386634,0.229890,1.103866,-0.652550,0,6.904774,1,stable,0.228526,-0.001364,0.100000,0.100000,0.363320,0.043420,1.330548
1.600000,-0.042697,0.990387,0.000115,0.055953,1,0.000023,0.721971,0.050728,1.331001,1.632487,0.625686,0.217865,1.085412,-1.221942,0,7.959662,1,stable,0.216989,-0.000875,0.100000,0.100000,0.374240,0.050728,1.331001
1.700000,0.115072,0.989817,-0.000041,0.064148,1,0.000023,0.751354,0.059629,1.332324,2.174343,0.542754,0.203767,1.085412,-0.971421,0,7.913570,1,stable,0.206069,0.002303,0.100000,0.100000,0.384069,0.059629,1.332324
1.800000,0.261372,0.989924,-0.000187,0.074852,1,0.000023,0.809072,0.071009,1.334397,8.351608,0.842532,0.190712,1.085412,0.293822,0,12.559313,1,stable,0.195952,0.005240,0.100000,0.100000,0.392784,0.071009,1.334397
1.900000,0.205980,0.990647,-0.000184,0.086054,3,0.000023,0.716708,0.082701,1.337020,6.235667,0.842441,0.182460,1.085412,0.577181,0,26.621098,1,stable,0.186578,0.004119,0.100000,0.100000,0.400369,0.082701,1.337020
2,0.050934,0.991674,-0.000096,0.094161,3,0.000023,0.478594,0.091236,1.339932,16.494922,0.674648,0.176582,1.085412,-0.923635,0,19.472540,1,stable,0.177583,0.001001,0.100000,0.100000,0.406809,0.091236,1.339932
2.100000,-0.034292,0.992522,-0.000068,0.100151,2,0.000022,0.406608,0.098309,1.342864,19.118569,0.642370,0.169502,1.072842,-2.381145,0,15.350479,1,stable,0.168784,-0.000717,0.100725,0.100725,0.412092,0.098309,1.342864
2.200000,-0.084297,0.992728,-0.000013,0.108022,4,0.000023,0.671438,0.107236,1.345533,16.881631,0.645785,0.162098,1.072842,-0.719862,0,11.881807,1,stable,0.160287,-0.001811,0.105035,0.105035,0.416209,0.107236,1.345533
2.300000,-0.139480,0.992063,0.000108,0.117442,2,0.000023,0.609703,0.116755,1.347652,16.457845,0.656839,0.155209,1.072842,2.648308,0,9.691799,1,stable,0.152126,-0.003082,0.109279,0.109279,0.419154,0.116755,1.347652
2.400000,0.088720,0.990669,0.000106,0.126408,1,0.000023,0.615333,0.125149,1.348994,15.599325,0.645323,0.142281,1.072842,-0.617355,0,8.533123,1,stable,0.144271,0.001990,0.113454,0.113454,0.420923,0.125149,1.348994
2.500000,0.379653,0.989045,-0.000115,0.140460,1,0.000022,0.653904,0.138366,1.349473,31.887094,0.739289,0.128297,1.072842,0.056298,0,7.621907,1,stable,0.137218,0.008921,0.117557,0.117557,0.421513,0.138366,1.349473
2.600000,0.220544,0.987842,-0.000026,0.154859,4,0.000022,0.622160,0.152214,1.349040,29.108793,0.794142,0.125721,1.061795,0.385709,0,10.546180,1,stable,0.131079,0.005358,0.121586,0.121586,0.420923,0.152214,1.349040
