t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000026,0,0.000457,1.339942,0,1,0.100000,0.493789,0,0,0,1,1,1,stable,0.493788,-0.000000,0.447059,0.447059,0.100000,0.000457,1.339942
0.100000,0.001633,0.992522,0,0.001491,0,0.000024,0.139697,0.000687,1.342872,0,1,0.100000,0.468951,0.139697,0,0,1,1,1,stable,0.469099,0.000148,0.448305,0.448305,0.120927,0.000687,1.342872
0.200000,0.004176,0.992728,-0.000000,0.002168,0,0.000020,0.186743,0.001013,1.345525,0,1,0.100000,0.445277,0.186743,1.396973,0,1,1,1,stable,0.445656,0.000379,0.449551,0.449551,0.141753,0.001013,1.345525
0.300000,0.006780,0.992063,-0.000008,0.003065,0,0.000020,0.243733,0.001457,1.347639,0.000000,0.993307,0.100000,0.422787,0.243733,0.470460,0,1,1,1,stable,0.423404,0.000617,0.450798,0.450798,0.162379,0.001457,1.347639
0.400000,0.008056,0.990669,-0.000020,0.004199,0,0.000020,0.309693,0.002038,1.348999,0.000314,0.993307,0.100000,0.401550,0.309693,0.569899,0,1,1,1,stable,0.402283,0.000733,0.452046,0.452046,0.182707,0.002038,1.348999
0.500000,0.007289,0.989045,-0.000036,0.005539,0,0.000020,0.375795,0.002759,1.349468,0.002497,0.993307,0.100000,0.381564,0.375795,0.659596,0,1,1,1,stable,0.382229,0.000664,0.453293,0.453293,0.202643,0.002759,1.349468
0.600000,0.005081,0.987842,-0.000051,0.006998,0,0.000021,0.436342,0.003601,1.348999,0.005740,0.993306,0.100000,0.362706,0.436342,0.661017,0,1,1,1,stable,0.363171,0.000465,0.454542,0.454542,0.222096,0.003601,1.348999
0.700000,0.001553,0.987566,-0.000052,0.008479,0,0.000020,0.495284,0.004554,1.347639,0.006405,0.993306,0.100000,0.344906,0.495284,0.605470,0,1,1,1,stable,0.345050,0.000144,0.455790,0.455790,0.240981,0.004554,1.347639
0.800000,-0.005804,0.988351,-0.000025,0.009953,0,0.000021,0.565492,0.005642,1.345525,0.006443,0.993306,0.100000,0.328341,0.565492,0.589422,0,1,1,1,stable,0.327809,-0.000532,0.457040,0.457040,0.259218,0.005642,1.345525
0.900000,-0.019364,0.989907,0.000027,0.011479,0,0.000022,0.642713,0.006880,1.342872,0.010279,0.993305,0.100000,0.313160,0.642713,0.702078,0,1,1,1,stable,0.311376,-0.001785,0.458289,0.458289,0.276734,0.006880,1.342872
1,-0.032833,0.991674,0.000075,0.013105,0,0.000022,0.708891,0.008249,1.339942,0.024263,0.993303,0.583874,0.298699,0.604102,0.772211,0,3.558010,1,1,stable,0.295662,-0.003037,0.459539,0.459539,0.293459,0.008249,1.339942
