t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t),gamma_regime,G_arch_used
0,-0.000001,0.991674,0,0.001002,0,0.000028,0,0.000457,1.339942,0,1,0.100000,0.493788,0,0,0,1,1,1,stable,0.493788,-0.000000,0.165478,0.165478,0.100000,0.000457,1.339942,0,0
0.100000,0.000471,0.992522,0,0.001655,0,0.000024,2.199699,0.000765,1.342872,0,1,0.100000,0.469055,2.199699,0,0,1,1,1,stable,0.469099,0.000043,0.117617,0.117617,0.120927,0.000765,1.342872,0,0
0.200000,0.001219,0.992728,-0.000000,0.002575,0,0.000022,3.249633,0.001216,1.345525,0,1,0.100000,0.445347,3.249633,21.996990,0,1,1,1,stable,0.445647,0.000300,0.296176,0.296176,0.141753,0.001216,1.345525,0,0
0.300000,0.001896,0.992063,-0.000002,0.003863,0,0.000022,0.736324,0.001875,1.347639,0.000000,0.993307,0.100000,0.422834,0.736324,10.499343,0,1,1,1,stable,0.423389,0.000555,0.321871,0.321871,0.162379,0.001875,1.347639,0,0
0.400000,0.001955,0.990669,-0.000016,0.005515,0,0.000022,2.690791,0.002769,1.348999,0.000049,0.993307,0.100000,0.401072,2.690791,-25.133091,0,1,1,1,stable,0.402265,0.001193,0.582806,0.582806,0.182707,0.002769,1.348999,0,0
0.500000,0.001567,0.989045,-0.000033,0.007836,0,0.000053,1.392740,0.004070,1.349468,0.000401,0.993307,0.100000,0.381279,1.392740,19.544666,0,1,1,1,stable,0.382248,0.000969,0.507644,0.507644,0.202643,0.004070,1.349468,0,0
0.600000,0.001219,0.987842,-0.000088,0.009976,0,0.000045,1.906043,0.005450,1.348999,0.000496,0.993307,0.100000,0.362288,1.906043,-12.980507,0,1,1,1,stable,0.363214,0.000926,0.670521,0.670521,0.222096,0.005450,1.348999,0,0
0.700000,0.001044,0.987566,-0.000084,0.012355,0,0.000045,1.889584,0.007186,1.347639,0.000438,0.993307,0.100000,0.344499,1.889584,5.133026,0,1,1,1,stable,0.345128,0.000629,0.841613,0.841613,0.240981,0.007186,1.347639,0,0
0.800000,-0.000282,0.988351,-0.000048,0.014415,3,0.000043,1.267631,0.009151,1.345526,0.000450,0.993307,0.100000,0.328714,1.267631,-0.164589,0,1,1,1,stable,0.327923,-0.000792,0.890982,0.890982,0.259218,0.009151,1.345526,0,0
0.900000,-0.004289,0.989907,0.000097,0.016343,3,0.000042,1.493454,0.011266,1.342872,0.000642,0.993307,0.100000,0.316278,1.493454,-6.219531,0,1,1,1,stable,0.311463,-0.004816,1,1,0.276734,0.011266,1.342872,0,0
