event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,100,200,A_mean(t),0.666481,medium,10/100
fractal_pattern,150,250,A_mean(t),0.658411,medium,10/100
fractal_pattern,150,250,entropy_S,0.760813,medium,10/100
fractal_pattern,250,350,effort(t),0.649375,medium,10/100
fractal_pattern,350,450,effort(t),0.666461,medium,10/100
fractal_pattern,100,200,mean_high_effort,0.688036,medium,10/100
fractal_pattern,150,250,mean_high_effort,0.679991,medium,10/100
fractal_pattern,200,300,mean_high_effort,0.741370,medium,10/100
fractal_pattern,300,400,mean_high_effort,0.936340,high,10/100
fractal_pattern,350,450,mean_high_effort,0.763413,medium,10/100
fractal_pattern,250,350,d_effort_dt,0.731253,medium,10/100
