event_type,t_start,t_end,metric,value,severity,scale
anomaly,98,147,A_mean(t),26.091203,high,
anomaly,99,148,A_mean(t),25.123613,high,
anomaly,100,149,A_mean(t),22.567133,high,
anomaly,101,150,A_mean(t),18.820352,high,
anomaly,102,150,A_mean(t),15.810487,high,
anomaly,103,150,A_mean(t),13.242666,high,
anomaly,104,148,A_mean(t),11.287969,high,
anomaly,105,148,A_mean(t),9.687026,high,
anomaly,106,146,A_mean(t),8.163302,medium,
anomaly,107,145,A_mean(t),7.090445,medium,
anomaly,108,144,A_mean(t),6.256632,medium,
anomaly,109,142,A_mean(t),5.635207,medium,
anomaly,110,141,A_mean(t),5.010395,medium,
anomaly,111,138,A_mean(t),4.525423,medium,
anomaly,112,137,A_mean(t),4.122068,low,
anomaly,201,250,A_mean(t),22.860758,high,
anomaly,202,251,A_mean(t),22.030843,high,
anomaly,203,249,A_mean(t),16.498451,high,
anomaly,204,249,A_mean(t),12.818487,high,
anomaly,205,245,A_mean(t),10.634964,high,
anomaly,206,245,A_mean(t),8.880753,high,
anomaly,207,244,A_mean(t),7.597505,medium,
anomaly,208,242,A_mean(t),6.568959,medium,
anomaly,209,242,A_mean(t),5.810492,medium,
anomaly,210,241,A_mean(t),5.171586,medium,
anomaly,211,240,A_mean(t),4.631508,medium,
anomaly,212,237,A_mean(t),4.179038,low,
anomaly,213,236,A_mean(t),3.795398,low,
anomaly,114,142,entropy_S,6.205616,medium,
anomaly,115,142,entropy_S,6.181353,medium,
anomaly,116,141,entropy_S,5.900231,medium,
anomaly,117,119,entropy_S,3.727422,low,
anomaly,123,125,entropy_S,3.372511,low,
anomaly,275,280,entropy_S,4.355729,medium,
anomaly,276,280,entropy_S,3.980044,low,
anomaly,277,280,entropy_S,3.521009,low,
anomaly,371,373,entropy_S,3.223447,low,
anomaly,130,132,effort(t),210.782100,high,
anomaly,247,249,effort(t),11.035967,high,
anomaly,300,349,mean_high_effort,47.629344,high,
anomaly,301,350,mean_high_effort,43.470403,high,
anomaly,302,351,mean_high_effort,40.025416,high,
anomaly,303,352,mean_high_effort,36.432244,high,
anomaly,304,353,mean_high_effort,31.447626,high,
anomaly,305,354,mean_high_effort,27.033807,high,
anomaly,306,355,mean_high_effort,23.379020,high,
anomaly,307,356,mean_high_effort,20.629765,high,
anomaly,308,357,mean_high_effort,18.200562,high,
anomaly,309,358,mean_high_effort,15.867815,high,
anomaly,310,359,mean_high_effort,14.063649,high,
anomaly,311,360,mean_high_effort,12.697802,high,
anomaly,312,361,mean_high_effort,11.494646,high,
anomaly,313,362,mean_high_effort,10.611678,high,
anomaly,314,363,mean_high_effort,9.654292,high,
anomaly,315,364,mean_high_effort,9.268750,high,
anomaly,408,410,mean_high_effort,3.002059,low,
anomaly,420,469,mean_high_effort,13.164019,high,
anomaly,421,470,mean_high_effort,10.930621,high,
anomaly,422,471,mean_high_effort,9.785921,high,
anomaly,423,472,mean_high_effort,8.393393,medium,
anomaly,424,473,mean_high_effort,7.419269,medium,
anomaly,425,474,mean_high_effort,6.528728,medium,
anomaly,131,134,d_effort_dt,189.458004,high,
anomaly,202,204,d_effort_dt,30.323745,high,
anomaly,249,251,d_effort_dt,4.637845,medium,
anomaly,418,423,d_effort_dt,8.717401,high,
anomaly,420,423,d_effort_dt,7.570919,medium,
harmonic_emergence,10,103,S(t),2,medium,
harmonic_emergence,20,113,S(t),2,medium,
harmonic_emergence,50,143,S(t),1,low,
harmonic_emergence,70,163,S(t),1,low,
harmonic_emergence,140,233,S(t),1,low,
harmonic_emergence,220,313,S(t),1,low,
harmonic_emergence,260,353,S(t),1,low,
harmonic_emergence,270,363,S(t),1,low,
harmonic_emergence,280,373,S(t),2,medium,
harmonic_emergence,310,403,S(t),2,medium,
harmonic_emergence,330,423,S(t),3,medium,
harmonic_emergence,340,433,S(t),1,low,
harmonic_emergence,350,443,S(t),1,low,
harmonic_emergence,360,453,S(t),1,low,
harmonic_emergence,400,493,S(t),1,low,
phase_cycle,1,12,S(t),11,medium,
phase_cycle,2,7,S(t),5,low,
phase_cycle,3,8,S(t),5,low,
phase_cycle,381,386,S(t),5,low,
phase_cycle,382,389,S(t),7,low,
fractal_pattern,100,200,A_mean(t),0.666500,medium,10/100
fractal_pattern,150,250,A_mean(t),0.650698,medium,10/100
fractal_pattern,150,250,entropy_S,0.693967,medium,10/100
fractal_pattern,100,200,mean_high_effort,0.687921,medium,10/100
fractal_pattern,150,250,mean_high_effort,0.683311,medium,10/100
fractal_pattern,300,400,mean_high_effort,0.931862,high,10/100
fractal_pattern,350,450,mean_high_effort,0.704437,medium,10/100
