t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000001,0.991674,0,0.001002,0,0.000033,0,0.000457,1.339942,0,1,0.100000,0.493788,0,0,0,1,1,1,stable,0.493788,-0.000000,0.100000,0.100000,0.100000,0.000457,1.339942
0.100000,0.000419,0.992522,0,0.001486,0,0.000024,2.892047,0.000684,1.342872,0,1,0.100000,0.469025,2.892047,0,0,1,1,1,stable,0.469099,0.000074,0.223947,0.223947,0.120927,0.000684,1.342872
0.200000,0.000998,0.992728,-0.000000,0.002140,0,0.000023,1.081094,0.000999,1.345525,0,1,0.100000,0.445422,1.081094,28.920475,0,1,1,1,stable,0.445650,0.000228,0.274028,0.274028,0.141753,0.000999,1.345525
0.300000,0.001480,0.992063,-0.000004,0.003000,0,0.000022,1.540073,0.001426,1.347639,0,1,0.100000,0.422888,1.540073,-18.109530,0,1,1,1,stable,0.423386,0.000498,0.372213,0.372213,0.162379,0.001426,1.347639
0.400000,0.001581,0.990669,-0.000012,0.004122,0,0.000022,2.181933,0.002001,1.348999,0.000026,0.993307,0.100000,0.401304,2.181933,4.589788,0,1,1,1,stable,0.402257,0.000953,0.598289,0.598289,0.182707,0.002001,1.348999
0.500000,0.001346,0.989045,-0.000029,0.005619,0,0.000050,0.928357,0.002788,1.349468,0.000149,0.993307,0.100000,0.381219,0.928357,6.418601,0,1,1,1,stable,0.382221,0.001002,0.669670,0.669670,0.202643,0.002788,1.349468
0.600000,0.000980,0.987842,-0.000066,0.007161,0,0.000047,0.686182,0.003661,1.348999,0.000209,0.993307,0.100000,0.362453,0.686182,-12.535765,0,1,1,1,stable,0.363191,0.000738,0.704645,0.704645,0.222096,0.003661,1.348999
0.700000,0.000492,0.987566,-0.000077,0.008551,0,0.000043,1.131514,0.004569,1.347639,0.000196,0.993307,0.100000,0.344846,1.131514,-2.421746,0,1,1,1,stable,0.345091,0.000245,0.814087,0.814087,0.240981,0.004569,1.347639
0.800000,-0.000761,0.988351,-0.000040,0.009735,0,0.000042,1.152508,0.005534,1.345525,0.000176,0.993307,0.100000,0.328904,1.152508,4.453312,0,1,1,1,stable,0.327857,-0.001047,0.938451,0.938451,0.259218,0.005534,1.345525
0.900000,-0.003305,0.989907,0.000048,0.010647,3,0.000042,0.794188,0.006487,1.342872,0.000286,0.993307,0.100000,0.314988,0.794188,0.209942,0,1,1,1,stable,0.311379,-0.003609,1,1,0.276734,0.006487,1.342872
1,-0.005541,0.991674,0.000151,0.011531,3,0.000043,28.718935,0.007395,1.339943,0.000915,0.993307,0.573202,0.296394,2.536990,-3.583201,0,3.341749,1,1,transitoire,0.295518,-0.000876,0.150359,0.150359,0.293459,0.007395,1.339943
1.100000,-0.007604,0.993071,0.000160,0.016671,0,0.000046,2.124694,0.010726,1.337025,0.000814,0.993307,0.577438,0.281755,11.264305,279.247478,0,5.551997,1,1,transitoire,0.280671,-0.001083,0.135189,0.135189,0.309334,0.010726,1.337025
1.200000,-0.004891,0.993711,0.000018,0.019377,3,0.000045,3.766985,0.013118,1.334404,0.000833,0.993307,0.520827,0.268305,11.264305,-265.942413,0,6.488854,1,1,transitoire,0.266550,-0.001755,0.313750,0.313750,0.324303,0.013118,1.334404
1.300000,-0.001278,0.993500,0.000036,0.021723,3,0.000043,2.008094,0.015665,1.332331,0.010726,0.993305,0.344766,0.253684,11.792656,16.422914,0,5.650789,1,1,transitoire,0.253081,-0.000603,0.411446,0.411446,0.338318,0.015665,1.332331
1.400000,-0.001229,0.992622,0.000157,0.026448,3,0.000045,2.421876,0.019785,1.331004,0.008853,0.993305,0.295523,0.240919,11.792656,-17.588912,0,5.795748,1,1,transitoire,0.240378,-0.000541,0.567646,0.567646,0.351335,0.019785,1.331004
1.500000,-0.006740,0.991442,0.000297,0.031277,0,0.000046,1.466357,0.023950,1.330548,0.010939,0.993305,0.330132,0.231589,11.792656,4.137821,0,5.948341,1,1,chronique,0.228315,-0.003274,0.644321,0.644321,0.363320,0.023950,1.330548
1.600000,-0.005185,0.990387,0.000319,0.035152,0,0.000044,1.480206,0.026976,1.331001,0.023429,0.993303,0.555475,0.216455,9.449961,-9.555194,0,5.795748,1,1,chronique,0.216635,0.000179,0.599918,0.599918,0.374240,0.026976,1.331001
1.700000,0.006011,0.989817,-0.000181,0.043366,0,0.000044,2.190256,0.033923,1.332322,0.023406,0.993303,0.515194,0.191887,9.449961,0.138495,0,5.650789,1,1,transitoire,0.205817,0.013930,0.781408,0.781408,0.384069,0.033923,1.332322
1.800000,0.015246,0.989924,-0.000611,0.058367,1,0.000043,2.467832,0.047550,1.334377,0.056031,0.993296,0.676755,0.157897,9.449961,7.100499,0,5.382363,1,1,transitoire,0.196653,0.038757,0.983451,0.983451,0.392784,0.047550,1.334377
