t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000002,0.990999,0,0.001002,0,0.000030,0,0.000457,1.346064,0,1,0.100000,0.493788,0,0,0,1,1,1,stable,0.493788,-0.000000,0.117184,0.117184,0.100000,0.000457,1.346064
0.100000,0.000939,0.992025,0,0.002069,0,0.000026,3.258536,0.000967,1.348022,0,1,0.100000,0.444272,3.258536,0,0,1,1,1,stable,0.444409,0.000138,0.292420,0.292420,0.120927,0.000967,1.348022
0.200000,0.002772,0.992393,-0.000000,0.003787,0,0.000024,0.744557,0.001843,1.349188,0,1,0.100000,0.399510,0.744557,32.585356,0,1,1,1,stable,0.399991,0.000481,0.311218,0.311218,0.141753,0.001843,1.349188
0.300000,0.004303,0.991886,-0.000007,0.006308,0,0.000023,0.817915,0.003254,1.349444,0.000000,0.993307,0.100000,0.359170,0.817915,-25.139783,0,1,1,1,stable,0.360069,0.000900,0.318317,0.318317,0.162379,0.003254,1.349444
0.400000,0.003398,0.990695,-0.000024,0.009707,0,0.000023,3.235355,0.005381,1.348763,0.000571,0.993307,0.100000,0.322448,3.235355,0.733573,0,1,1,1,stable,0.324208,0.001760,0.562277,0.562277,0.182707,0.005381,1.348763
0.500000,0.001374,0.989342,-0.000052,0.014620,0,0.000048,2.548910,0.008668,1.347216,0.005569,0.993306,0.100000,0.290347,2.548910,24.174404,0,1,1,1,stable,0.292072,0.001725,0.685641,0.685641,0.202643,0.008668,1.347216
0.600000,0.001252,0.988433,-0.000158,0.019774,0,0.000046,1.758026,0.012744,1.344958,0.005428,0.993306,0.100000,0.261847,1.758026,-6.864449,0,1,1,1,stable,0.263144,0.001297,0.665604,0.665604,0.222096,0.012744,1.344958
0.700000,0.001885,0.988383,-0.000219,0.024536,3,0.000048,1.944233,0.017834,1.342217,0.007022,0.993306,0.100000,0.235354,1.944233,-7.908837,0,1,1,1,stable,0.237040,0.001685,0.740688,0.740688,0.240981,0.017834,1.342217
0.800000,0.003433,0.989247,-0.000052,0.032220,3,0.000047,2.316547,0.025580,1.339264,0.006486,0.993306,0.100000,0.211058,2.316547,1.862062,0,1,1,1,stable,0.213608,0.002550,0.879988,0.879988,0.259218,0.025580,1.339264
0.900000,-0.001934,0.990726,0.000271,0.042272,3,0.000046,1.950228,0.035600,1.336397,0.006658,0.993306,0.100000,0.195602,1.950228,3.723142,0,1,1,1,stable,0.192660,-0.002942,0.984819,0.984819,0.276734,0.035600,1.336397
1,-0.009959,0.992322,0.000571,0.047095,1,0.000047,46.262740,0.043267,1.333898,0.022934,0.993303,0.759220,0.173204,3.246945,-3.663185,0,2.253221,1,1,transitoire,0.172918,-0.000286,0.100000,0.100000,0.293459,0.043267,1.333898
1.100000,-0.043137,0.993534,0.000104,0.060917,0,0.000048,4.510390,0.057298,1.331958,0.022625,0.993303,0.771857,0.162827,17.585544,443.125118,0,5.148889,1,1,transitoire,0.155580,-0.007247,0.287473,0.287473,0.309334,0.057298,1.331958
1.200000,-0.031508,0.994015,-0.000066,0.070937,1,0.000047,1.158438,0.067616,1.330822,0.256746,0.993258,0.844349,0.144686,18.010555,-417.523499,0,18.332928,1,1,chronique,0.138849,-0.005837,0.307139,0.307139,0.324303,0.067616,1.330822
1.300000,-0.047167,0.993658,-0.000194,0.086810,3,0.000047,2.648535,0.083944,1.330585,0.644084,0.993184,0.654964,0.124501,18.010555,-33.519521,0,15.562850,1,1,transitoire,0.124020,-0.000481,0.461879,0.461879,0.338318,0.083944,1.330585
