t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),An_mean(t),fn_mean(t),spacing_gamma_bias,spacing_G_hint,spacing_planning_hint,best_pair_gamma,best_pair_G,best_pair_score,temporal_coherence,autocorr_tau,decorrelation_time,tau_S,tau_gamma,tau_A_mean,tau_f_mean
0,0,1,0,0.001002,0,0.000036,0,0.000457,1.532226,0,1,0.100037,0.493788,0,0,0,1,1,1,stable,0.493788,0,0.100000,0.100000,adaptive,0.100000,0.000457,1.532226,0,0,0,0.100000,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.000868,1.000000,0,0.002057,0,0.000046,3.258399,0.000961,1.535085,0,1,0.100029,0.444262,3.258399,0,0,1,1,1,stable,0.444409,0.000148,0.237969,0.261096,adaptive,0.120927,0.000961,1.535085,0,0,0,0.237969,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.200000,0.002518,0.999999,0,0.003753,0,0.000044,1.764507,0.001825,1.537949,0,1,0.100028,0.399317,1.764507,32.583985,0,1,1,1,stable,0.399992,0.000675,0.337417,0.370261,adaptive,0.141753,0.001825,1.537949,0,0,0,0.337417,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.300000,0.003838,0.999999,-0.000008,0.006332,0,0.000045,0.666185,0.003253,1.540815,0.000000,0.993307,0.100033,0.358788,0.666185,-14.938917,0,1,1,1,stable,0.360102,0.001314,0.350925,0.385157,adaptive,0.162379,0.003253,1.540815,0,0,0,0.350925,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.400000,0.003615,0.999998,-0.000036,0.009873,0,0.000045,2.327070,0.005422,1.543679,0.000664,0.993307,0.100002,0.321772,2.327070,-10.983214,0,1,1,1,stable,0.324305,0.002532,0.518289,0.568969,resonance,0.182707,0.005422,1.543679,0,0,0,0.518289,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.500000,0.004089,0.999997,-0.000086,0.015010,0,0.000072,1.660193,0.008781,1.546540,0.006406,0.993306,0.100001,0.288759,1.660193,16.608843,0,1,1,1,stable,0.292284,0.003525,0.584228,0.641475,tanh,0.202643,0.008781,1.546540,0,0,0,0.584228,tanh,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.600000,0.004938,0.999996,-0.000214,0.020448,0,0.000068,1.947717,0.013074,1.549393,0.002070,0.993307,0.100000,0.259478,1.947717,-6.668764,0,1,1,1,stable,0.263626,0.004148,0.656693,0.721243,spiral_log,0.222096,0.013074,1.549393,0,0,0,0.656693,spiral_log,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.700000,0.003129,0.999994,-0.000255,0.025851,3,0.000067,2.397134,0.018589,1.552236,0.001290,0.993307,0.100000,0.234499,2.397134,2.875233,0,1,1,1,stable,0.237934,0.003435,0.801393,0.880570,resonance,0.240981,0.018589,1.552236,0,0,0,0.801393,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.800000,-0.004077,0.999992,-0.000064,0.032511,3,0.000067,1.713516,0.025528,1.555070,0.004832,0.993306,0.100009,0.218664,1.713516,4.494174,0,1,1,1,stable,0.214697,-0.003967,0.877220,0.945867,resonance,0.259218,0.025528,1.555070,0,0,0,0.877220,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.900000,-0.014042,0.999991,0.000338,0.033025,1,0.000068,1.484143,0.029315,1.557895,0.038315,0.993300,0.100041,0.202784,1.484143,-6.836178,0,1,1,1,stable,0.192585,-0.010198,0.919905,0.984513,resonance,0.276734,0.029315,1.557895,0,0,0,0.919905,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1,-0.008237,0.999989,0.000284,0.041835,1,0.000068,36.388435,0.037848,1.560706,0.027807,0.993302,0.672813,0.171909,2.827766,-2.293732,0,3.768194,1,1,transitoire,0.171676,-0.000232,0.112413,0.123599,adaptive,0.293459,0.037848,1.560706,0,0,0,0.112413,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.100000,0.006951,0.999987,-0.000320,0.061426,3,0.000070,3.646698,0.057314,1.563460,0.009572,0.993305,0.488227,0.151934,14.014656,349.042922,0,3.659087,1,1,transitoire,0.154471,0.002538,0.183923,0.201935,adaptive,0.309334,0.057314,1.563460,0,0,0,0.183923,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.200000,0.002500,0.999985,-0.000112,0.077865,3,0.000071,2.576464,0.074442,1.566229,0.034881,0.993301,0.701237,0.133176,14.431177,-327.417375,0,3.548281,1,1,transitoire,0.139435,0.006258,0.257563,0.281812,adaptive,0.324303,0.074442,1.566229,0,0,0,0.257563,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
