event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,150,250,S(t),0.644759,medium,10/100
fractal_pattern,300,400,S(t),0.818789,medium,10/100
fractal_pattern,950,1050,S(t),0.777472,medium,10/100
fractal_pattern,1150,1250,S(t),0.643153,medium,10/100
fractal_pattern,1800,1900,S(t),0.644526,medium,10/100
fractal_pattern,1950,2050,S(t),0.913553,high,10/100
fractal_pattern,2800,2900,S(t),0.644899,medium,10/100
fractal_pattern,2950,3050,S(t),0.834699,medium,10/100
fractal_pattern,3600,3700,S(t),0.765782,medium,10/100
fractal_pattern,3800,3900,S(t),0.643347,medium,10/100
fractal_pattern,4450,4550,S(t),0.644418,medium,10/100
fractal_pattern,4600,4700,S(t),0.907701,high,10/100
fractal_pattern,5450,5550,S(t),0.644940,medium,10/100
fractal_pattern,5600,5700,S(t),0.849796,medium,10/100
fractal_pattern,6250,6350,S(t),0.754311,medium,10/100
fractal_pattern,6450,6550,S(t),0.643530,medium,10/100
fractal_pattern,7100,7200,S(t),0.644297,medium,10/100
fractal_pattern,7250,7350,S(t),0.900546,high,10/100
fractal_pattern,8100,8200,S(t),0.644969,medium,10/100
fractal_pattern,8250,8350,S(t),0.863884,medium,10/100
fractal_pattern,8900,9000,S(t),0.743092,medium,10/100
fractal_pattern,9100,9200,S(t),0.643703,medium,10/100
fractal_pattern,9250,9350,S(t),0.645697,medium,10/100
fractal_pattern,9750,9850,S(t),0.644166,medium,10/100
fractal_pattern,100,200,C(t),0.923062,high,10/100
fractal_pattern,150,250,C(t),0.923734,high,10/100
fractal_pattern,200,300,C(t),0.924311,high,10/100
fractal_pattern,250,350,C(t),0.916936,high,10/100
fractal_pattern,300,400,C(t),0.881727,medium,10/100
