event_type,t_start,t_end,metric,value,severity
anomaly,2462,2464,S(t),4.901111,medium
anomaly,4937,4939,S(t),4.901111,medium
anomaly,7412,7414,S(t),4.901111,medium
anomaly,9887,9889,S(t),4.901111,medium
harmonic_emergence,10,103,S(t),1,low
harmonic_emergence,2380,2473,S(t),1,low
harmonic_emergence,2400,2493,S(t),1,low
harmonic_emergence,2420,2513,S(t),1,low
harmonic_emergence,2430,2523,S(t),1,low
harmonic_emergence,2450,2543,S(t),1,low
harmonic_emergence,2470,2563,S(t),2,medium
harmonic_emergence,2480,2573,S(t),1,low
harmonic_emergence,2500,2593,S(t),1,low
harmonic_emergence,2510,2603,S(t),1,low
harmonic_emergence,4860,4953,S(t),1,low
harmonic_emergence,4870,4963,S(t),1,low
harmonic_emergence,4900,4993,S(t),2,medium
harmonic_emergence,4920,5013,S(t),1,low
harmonic_emergence,4940,5033,S(t),1,low
harmonic_emergence,4950,5043,S(t),1,low
harmonic_emergence,4960,5053,S(t),1,low
harmonic_emergence,7330,7423,S(t),1,low
harmonic_emergence,7350,7443,S(t),1,low
harmonic_emergence,7370,7463,S(t),1,low
harmonic_emergence,7380,7473,S(t),1,low
harmonic_emergence,7400,7493,S(t),1,low
harmonic_emergence,7420,7513,S(t),2,medium
harmonic_emergence,7430,7523,S(t),1,low
harmonic_emergence,7450,7543,S(t),1,low
harmonic_emergence,7460,7553,S(t),1,low
harmonic_emergence,9810,9903,S(t),1,low
harmonic_emergence,9820,9913,S(t),1,low
harmonic_emergence,9850,9943,S(t),2,medium
harmonic_emergence,9870,9963,S(t),1,low
harmonic_emergence,9890,9983,S(t),1,low
harmonic_emergence,9900,9993,S(t),1,low
