[2025-07-13 20:14:35] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:14:40] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:14:40] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:14:45] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:14:45] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:15:54] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:16:49] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:17:45] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:18:42] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:19:37] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:22:59] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:23:04] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:23:04] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:23:08] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:23:08] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:24:16] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:25:15] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:26:12] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:27:08] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:28:04] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:30:28] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:30:33] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:30:33] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:30:37] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:30:37] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:31:45] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:32:41] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:33:37] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:34:33] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:35:29] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:38:04] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:38:09] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:38:09] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:38:14] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:38:14] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:39:23] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:40:19] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:41:15] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:42:11] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:43:07] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:00] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:01] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:01] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:02] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:02] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:08] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:13] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:17] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:22] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:50:27] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:55:43] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:55:44] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:55:44] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:55:45] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:55:45] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:55:51] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:55:56] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:56:01] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:56:05] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:56:10] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:01] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:01] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:01] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:02] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:02] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:08] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:13] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:18] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:23] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 20:58:28] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:14] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:15] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:15] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:16] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:16] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:22] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:27] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:32] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:36] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:02:41] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:03:54] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:03:54] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:03:54] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:03:55] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:03:55] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:04:01] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:04:06] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:04:11] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:04:15] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 21:04:20] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:04] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:05] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:05] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:06] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:06] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:12] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:17] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:21] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:26] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:15:31] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:16:41] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:16:42] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:16:42] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:16:42] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:16:42] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:16:49] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:16:53] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:16:58] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:17:03] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:17:07] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:17] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:18] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:18] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:18] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:18] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:25] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:29] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:34] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:39] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:19:44] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:20:50] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:20:50] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:20:50] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:20:51] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:20:51] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:20:57] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:21:02] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:21:07] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:21:12] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:21:16] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:20] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:21] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:21] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:22] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:22] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:28] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:33] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:37] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:42] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:22:47] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:02] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:03] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:03] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:04] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:04] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:10] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:15] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:19] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:24] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:24:29] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:22] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:23] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:23] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:24] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:24] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:30] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:35] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:39] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:44] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:28:49] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:30:41] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:30:42] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:30:42] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:30:42] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:30:42] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:30:49] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:30:53] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:30:58] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:31:03] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:31:08] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:32:40] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:32:41] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:32:41] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:32:41] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:32:41] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:32:47] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:32:52] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:32:57] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:33:02] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:33:06] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:38:50] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:38:51] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:38:51] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:38:52] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:38:52] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:38:58] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:39:03] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:39:07] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:39:12] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:39:17] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:40:45] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:40:46] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:40:46] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:40:46] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:40:46] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:40:53] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:40:58] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:41:02] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:41:07] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:41:12] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:06] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:07] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:07] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:07] | batch_1 | fluidity: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:07] | batch_1 | innovation: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:13] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:18] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:23] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:28] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
[2025-07-13 22:44:33] | batch_1 | resilience: None → None | Dépassement sur 100.0% des runs
