t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,erreur_0,G_0,In_1,An_1,En_1,On_1,phi_1,fn_1,erreur_1,G_1,In_2,An_2,En_2,On_2,phi_2,fn_2,erreur_2,G_2,In_3,An_3,En_3,On_3,phi_3,fn_3,erreur_3,G_3,In_4,An_4,En_4,On_4,phi_4,fn_4,erreur_4,G_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.268941,-0.146848,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.500000,-0.268271,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.700000,-0.367042,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.400000,-0.216518,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.600000,-0.318521
1.000,-0.009039,1.648902,0.293459,0.050109,0.090460,-0.007253,0.040172,0.700000,0.097713,-0.054142,0.293459,0.073441,0.176235,0.010990,0.045797,1.227178,0.165245,-0.091073,0.293459,0.017586,0.244582,0.002593,0.043663,1.211729,0.241988,-0.132451,0.293459,0.036800,0.134880,-0.003115,0.036640,1.899009,0.137995,-0.076226,0.293459,0.030113,0.210383,-0.004488,0.034437,2.765639,0.214870,-0.117907
2.000,-0.062238,1.676779,0.406809,0.120990,0.078346,0.006344,0.076412,0.700000,0.072003,-0.037101,0.406809,0.246192,0.111164,0.001927,0.085639,1.236950,0.109237,-0.056011,0.406809,0.274629,0.141843,0.002584,0.082222,1.235959,0.139259,-0.071116,0.406809,0.040841,0.041700,-0.002725,0.070282,1.936275,0.044425,-0.022973,0.406809,0.199524,0.091241,-0.016660,0.066347,2.823352,0.107901,-0.055335
3.000,-0.053427,1.698902,0.406809,0.117510,0.004553,0.007867,0.105172,0.700000,-0.003314,0.001675,0.406809,0.061445,0.050855,-0.006144,0.114357,1.244414,0.056999,-0.028471,0.406809,0.084972,0.064965,-0.008247,0.111175,1.257016,0.073212,-0.036455,0.406809,0.052098,0.007984,-0.002503,0.098177,1.968208,0.010487,-0.005285,0.406809,0.076943,0.052934,-0.005627,0.093395,2.871896,0.058562,-0.029243
4.000,-0.052298,1.713106,0.293459,0.089069,-0.022849,-0.008067,0.123637,0.700000,-0.014782,0.007271,0.293459,0.155193,-0.005430,0.001912,0.128250,1.249811,-0.007341,0.003604,0.293459,0.244204,0.002873,0.014534,0.127150,1.270305,-0.011661,0.005731,0.293459,0.084603,-0.015223,-0.001419,0.118053,1.988600,-0.013805,0.006788,0.293459,0.079133,0.034526,-0.005818,0.113617,2.903341,0.040344,-0.019561
5.000,-0.033570,1.718000,0.100000,0.083377,0.024572,-0.010376,0.130000,0.700000,0.034948,-0.051995,0.100000,0.090689,-0.001143,0.085781,0.125570,1.251471,-0.086923,0.128325,0.100000,0.159664,0.019393,0.096323,0.128300,1.274286,-0.076930,0.113799,0.100000,0.095525,-0.019880,-0.003193,0.128300,1.994808,-0.016687,0.024855,0.100000,0.084623,0.031204,-0.042527,0.125570,2.913540,0.073731,-0.109131
6.000,-0.047302,1.713106,0.001000,0.069262,-0.006100,0.034812,0.123637,0.700000,-0.040911,0.030916,0.001000,0.131489,0.013695,-0.005780,0.106746,1.249449,0.019476,-0.005659,0.001000,0.173194,0.017674,-0.067409,0.114520,1.269877,0.085083,-0.050356,0.001000,0.100225,-0.008525,-0.016482,0.128104,1.987926,0.007957,-0.014396,0.001000,0.140808,0.007948,0.027781,0.128433,2.902764,-0.019833,0.014992
7.000,-0.099351,1.698902,0.001000,0.072008,-0.010552,-0.014822,0.105172,0.700000,0.004270,-0.002133,0.001000,0.128607,0.004354,-0.052235,0.074321,1.244475,0.056589,-0.106929,0.001000,0.156943,-0.002561,-0.059527,0.087457,1.257134,0.056966,-0.040197,0.001000,0.105571,-0.000104,-0.041829,0.117511,1.967929,0.041725,-0.007742,0.001000,0.148014,-0.005614,0.042036,0.122073,2.871659,-0.047651,0.023575
8.000,-0.043418,1.676779,0.001000,0.071911,0.007936,-0.018694,0.076412,0.700000,0.026631,-0.018656,0.001000,0.127987,-0.008257,-0.030531,0.032604,1.236687,0.022274,-0.002771,0.001000,0.165390,-0.011688,-0.037317,0.050309,1.237120,0.025628,-0.011700,0.001000,0.106100,0.006174,-0.004176,0.097422,1.937516,0.010351,-0.021330,0.001000,0.150721,0.007748,-0.039188,0.107041,2.824393,0.046936,-0.032874
9.000,-0.041410,1.648902,0.001000,0.071220,0.003841,0.026728,0.040172,0.700000,-0.022887,0.009760,0.001000,0.134325,-0.012996,0.013039,-0.012909,1.226784,-0.026035,0.057987,0.001000,0.167319,-0.014002,-0.037870,0.007448,1.211459,0.023868,-0.016708,0.001000,0.108444,-0.007757,0.025562,0.069514,1.898799,-0.033319,0.003212,0.001000,0.144031,-0.003040,-0.033094,0.084528,2.765466,0.030055,-0.012740
10.000,-0.080252,1.618000,0.100000,0.083371,-0.011786,-0.000000,0.000000,0.700000,-0.011786,0.008250,0.100000,0.157439,-0.010219,0.051293,-0.056263,1.216044,-0.061512,0.003329,0.100000,0.183620,-0.010806,-0.063897,-0.036098,1.183783,0.053091,0.002968,0.100000,0.126371,0.008958,-0.025210,0.036098,1.857735,0.034168,0.001225,0.100000,0.168568,-0.009511,0.015961,0.056263,2.702908,-0.025471,0.000679
11.000,-0.171865,1.587098,0.293459,0.104029,0.004666,-0.039027,-0.040172,0.700000,0.043693,0.000105,0.293459,0.194503,-0.002873,0.077736,-0.091843,1.205282,-0.080610,0.025282,0.293459,0.224901,0.005735,-0.086037,-0.075240,1.155891,0.091772,0.001599,0.293459,0.160554,-0.012742,-0.003952,-0.000075,1.817292,-0.008789,0.000688,0.293459,0.216628,-0.012893,0.035457,0.024376,2.642110,-0.048350,0.004111
12.000,-0.137860,1.559221,0.406809,0.119617,0.014122,0.030997,-0.076412,0.700000,-0.016874,0.002600,0.406809,0.217513,0.009067,0.076731,-0.115104,1.195537,-0.067664,0.013330,0.406809,0.287669,0.029370,-0.046755,-0.105425,1.131948,0.076126,-0.000879,0.406809,0.172558,0.006890,0.047557,-0.036042,1.782064,-0.040666,0.020847,0.406809,0.244450,-0.014737,0.041852,-0.008769,2.589316,-0.056589,0.010617
13.000,-0.133108,1.537098,0.406809,0.120853,-0.015788,0.024152,-0.105172,0.700000,-0.039940,0.005888,0.406809,0.233070,0.019885,0.039342,-0.123170,1.188482,-0.019457,0.014276,0.406809,0.273698,0.028753,0.038031,-0.123174,1.112549,-0.009278,0.000090,0.406809,0.175004,-0.000601,-0.067127,-0.068877,1.754364,0.066526,0.003893,0.406809,0.253944,-0.015410,0.070280,-0.040759,2.548315,-0.085689,0.015443
14.000,-0.150004,1.522894,0.293459,0.103672,-0.002710,-0.040718,-0.123637,0.700000,0.038008,-0.009730,0.293459,0.216202,0.018210,-0.029178,-0.115192,1.183793,0.047388,-0.011847,0.293459,0.230886,0.016971,0.053699,-0.126481,1.101527,-0.036728,0.006637,0.293459,0.154446,-0.001261,0.055125,-0.095931,1.738558,-0.056387,0.055807,0.293459,0.216288,-0.004997,0.077705,-0.069312,2.523820,-0.082703,0.027467
15.000,-0.098364,1.518000,0.100000,0.083321,0.012674,0.004321,-0.130000,0.700000,0.008353,-0.001627,0.100000,0.154737,0.005696,-0.059749,-0.092447,1.181512,0.065445,-0.075625,0.100000,0.190286,0.013003,0.031378,-0.115044,1.096712,-0.018376,0.000353,0.100000,0.121969,-0.006891,-0.010654,-0.115044,1.732218,0.003764,0.000012,0.100000,0.178486,0.005518,-0.068755,-0.092447,2.514754,0.074274,-0.011197
16.000,-0.075434,1.522894,0.001000,0.071686,-0.004192,0.025970,-0.123637,0.700000,-0.030162,0.000954,0.001000,0.130481,-0.009754,-0.025616,-0.058134,1.182975,0.015861,0.000222,0.001000,0.177634,0.012077,-0.041584,-0.090295,1.100867,0.053661,-0.011231,0.001000,0.107023,0.001147,-0.041238,-0.124727,1.738319,0.042385,-0.060066,0.001000,0.153313,-0.002263,0.047024,-0.108625,2.523638,-0.049286,0.002556
17.000,-0.093414,1.537098,0.001000,0.071955,-0.008001,-0.019269,-0.105172,0.700000,0.011267,-0.003096,0.001000,0.132721,-0.007431,0.049434,-0.016939,1.187841,-0.056865,0.095956,0.001000,0.167364,-0.010688,-0.036629,-0.055218,1.112744,0.025941,-0.012498,0.001000,0.106903,0.000283,-0.038423,-0.124270,1.755417,0.038706,-0.018489,0.001000,0.156189,-0.004242,0.057098,-0.116854,2.549124,-0.061340,0.017987
18.000,-0.042706,1.559221,0.001000,0.072226,0.009225,-0.015148,-0.076412,0.700000,0.024372,0.000622,0.001000,0.133428,0.009738,-0.010565,0.025620,1.195980,0.020303,0.000363,0.001000,0.164362,0.003666,0.046005,-0.013989,1.132160,-0.042339,0.013695,0.001000,0.106473,-0.005777,0.017923,-0.113802,1.782625,-0.023699,0.045570,0.001000,0.147173,0.005160,-0.033692,-0.116749,2.589753,0.038851,0.001585
19.000,-0.049877,1.587098,0.001000,0.071601,0.003020,0.027572,-0.040172,0.700000,-0.024553,0.008806,0.001000,0.129983,-0.007613,-0.028234,0.063927,1.205182,0.020620,-0.044459,0.001000,0.169443,-0.010868,-0.007758,0.028521,1.156695,-0.003110,0.001961,0.001000,0.105559,0.003812,-0.006689,-0.094264,1.817912,0.010501,-0.006604,0.001000,0.149293,-0.005792,0.055818,-0.108536,2.642602,-0.061611,0.022090
20.000,-0.104046,1.618000,0.100000,0.083371,-0.011610,-0.000000,-0.000000,0.700000,-0.011610,0.000141,0.100000,0.152129,0.003540,0.051122,0.093026,1.216322,-0.047583,0.001993,0.100000,0.201367,0.008446,-0.073647,0.067328,1.183647,0.082093,-0.030970,0.100000,0.124937,-0.005858,0.038026,-0.067328,1.857417,-0.043884,0.017247,0.100000,0.171493,-0.003783,0.016306,-0.093026,2.702650,-0.020089,0.007963
21.000,-0.115171,1.648902,0.293459,0.104892,0.003558,-0.040392,0.040172,0.700000,0.043950,-0.015197,0.293459,0.199467,0.001801,-0.076041,0.109270,1.227694,0.077842,-0.044996,0.293459,0.228215,0.008606,0.014962,0.097920,1.212296,-0.006356,0.002285,0.293459,0.161704,-0.000674,-0.047389,-0.035250,1.898798,0.046715,-0.016143,0.293459,0.212318,-0.005893,0.032938,-0.071528,2.765465,-0.038831,0.013916
22.000,-0.287671,1.676779,0.406809,0.120798,0.015569,0.025334,0.076412,0.700000,-0.009765,0.003130,0.406809,0.240368,-0.010991,0.095256,0.110788,1.236849,-0.106247,0.035011,0.406809,0.278113,-0.014230,0.110644,0.116790,1.237039,-0.124874,0.048501,0.406809,0.182057,0.006122,-0.044256,-0.000680,1.936548,0.050378,-0.039678,0.406809,0.231627,-0.008016,0.059734,-0.045737,2.823581,-0.067749,0.022141
23.000,-0.158005,1.698902,0.406809,0.120491,-0.013510,0.032266,0.105172,0.700000,-0.045776,0.017981,0.406809,0.251507,0.015381,-0.071807,0.097706,1.243955,0.087188,-0.084773,0.406809,0.252729,-0.015527,-0.046983,0.121836,1.256682,0.031456,-0.012354,0.406809,0.190134,-0.007188,0.075882,0.033562,1.967624,-0.083070,0.032362,0.406809,0.239007,-0.006247,0.023428,-0.017591,2.871400,-0.029675,0.011719
