t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.100000,0.268941,-0.146848,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.100000,0.500000,-0.268271,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.100000,0.700000,-0.367042,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.100000,0.400000,-0.216518,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.100000,0.600000,-0.318521,adaptive
1.000,-0.008165,1.648902,0.293459,0.047694,0.092926,-0.007577,0.040172,0.700000,0.165032,0.100504,-0.055677,adaptive,0.293459,0.065908,0.176006,0.011531,0.045797,1.227164,0.175795,0.164475,-0.090655,adaptive,0.293459,0.014367,0.244494,0.002162,0.043663,1.211723,0.153408,0.242332,-0.132635,adaptive,0.293459,0.034868,0.135762,-0.003256,0.036640,1.899004,0.165892,0.139018,-0.076784,adaptive,0.293459,0.026143,0.210258,-0.004314,0.034437,2.765636,0.166484,0.214572,-0.117747,adaptive
2.000,-0.058866,1.676779,0.406809,0.121209,0.076696,0.020793,0.076412,0.700000,0.327182,0.055903,-0.056292,resonance,0.406809,0.233810,0.109064,0.006821,0.085639,1.236872,0.368078,0.102243,-0.068905,tanh,0.406809,0.254284,0.139289,0.008745,0.082222,1.236148,0.374934,0.130544,-0.067573,spiral_log,0.406809,0.033106,0.042963,-0.007795,0.070282,1.936428,0.353618,0.050757,-0.030836,adaptive,0.406809,0.194112,0.089772,-0.056823,0.066347,2.823481,0.350212,0.146596,-0.145076,resonance
3.000,-0.044497,1.698902,0.406809,0.117811,0.006542,0.007887,0.105172,0.700000,0.100000,-0.001345,0.000679,adaptive,0.406809,0.050641,0.048440,-0.005354,0.114357,1.244490,0.105727,0.053794,-0.026887,adaptive,0.406809,0.085204,0.064685,-0.009184,0.111175,1.257089,0.111095,0.073868,-0.036777,adaptive,0.406809,0.040782,0.010878,-0.002094,0.098177,1.968115,0.106559,0.012972,-0.006535,adaptive,0.406809,0.054478,0.048335,-0.003979,0.093395,2.871817,0.100000,0.052313,-0.026154,adaptive
4.000,-0.046655,1.713106,0.293459,0.087482,-0.021358,-0.007923,0.123637,0.700000,0.100000,-0.013435,0.006606,adaptive,0.293459,0.138509,-0.005613,0.001816,0.128250,1.249748,0.107819,-0.007429,0.003647,adaptive,0.293459,0.244151,0.004147,0.016339,0.127150,1.270319,0.112389,-0.012192,0.005993,adaptive,0.293459,0.074008,-0.014458,-0.001337,0.118053,1.988460,0.105587,-0.013121,0.006451,adaptive,0.293459,0.054961,0.030649,-0.004029,0.113617,2.903221,0.100000,0.034678,-0.016839,adaptive
5.000,-0.029680,1.718000,0.100000,0.083370,0.021714,-0.010305,0.130000,0.700000,0.953512,0.032020,-0.047969,resonance,0.100000,0.080330,-0.002249,0.069976,0.125570,1.251374,0.883661,-0.072225,0.107650,resonance,0.100000,0.175696,0.015391,0.110238,0.128300,1.274327,1.000000,-0.094846,0.140716,resonance,0.100000,0.089689,-0.019836,-0.002991,0.128300,1.994854,1.000000,-0.016845,0.025258,resonance,0.100000,0.063211,0.029409,-0.030095,0.125570,2.913580,0.907620,0.059504,-0.088871,resonance
6.000,-0.043533,1.713106,0.001000,0.067348,-0.008362,0.034050,0.123637,0.700000,0.514893,-0.042412,0.047936,resonance,0.001000,0.128816,0.011254,-0.006234,0.106746,1.249479,0.556173,0.017488,-0.005313,spiral_log,0.001000,0.171340,0.016374,-0.079674,0.114520,1.269956,0.610020,0.096048,-0.107773,resonance,0.001000,0.093634,-0.011160,-0.017947,0.128104,1.987955,0.598503,0.006787,-0.012622,resonance,0.001000,0.127099,0.006535,0.027732,0.128433,2.902788,0.567308,-0.021197,0.023990,resonance
7.000,-0.091214,1.698902,0.001000,0.071920,-0.011116,-0.014228,0.105172,0.700000,0.395963,0.003112,-0.003120,resonance,0.001000,0.126416,0.001833,-0.053765,0.074321,1.244501,0.431346,0.055598,-0.105394,resonance,0.001000,0.147363,-0.005630,-0.060747,0.087457,1.257154,0.447961,0.055117,-0.039079,tanh,0.001000,0.104421,-0.001356,-0.043187,0.117511,1.967929,0.430061,0.041831,-0.007791,spiral_log,0.001000,0.142032,-0.006897,0.045297,0.122073,2.871659,0.462686,-0.052194,0.052187,resonance
8.000,-0.039975,1.676779,0.001000,0.071780,0.006648,-0.017651,0.076412,0.700000,0.379580,0.024299,-0.017032,tanh,0.001000,0.124981,-0.010176,-0.030616,0.032604,1.236735,0.413446,0.020440,-0.002570,spiral_log,0.001000,0.160039,-0.014516,-0.038630,0.050309,1.237072,0.427793,0.024114,-0.024644,resonance,0.001000,0.104935,0.005010,-0.003755,0.097422,1.937387,0.390529,0.008764,-0.018068,resonance,0.001000,0.147813,0.007271,-0.039268,0.107041,2.824285,0.412673,0.046539,-0.032613,tanh
9.000,-0.037528,1.648902,0.001000,0.070715,0.002940,0.024188,0.040172,0.700000,0.364708,-0.021248,0.022518,resonance,0.001000,0.134237,-0.014356,0.013431,-0.012909,1.226881,0.403566,-0.027788,0.061881,resonance,0.001000,0.162372,-0.016586,-0.038856,0.007448,1.211528,0.425493,0.022269,-0.015590,tanh,0.001000,0.108418,-0.008548,0.025773,0.069514,1.898845,0.402103,-0.034322,0.003336,spiral_log,0.001000,0.134681,-0.003982,-0.033993,0.084528,2.765505,0.440906,0.030011,-0.031789,resonance
10.000,-0.053296,1.618000,0.100000,0.083358,-0.030352,-0.000000,0.000000,0.700000,0.764042,-0.030352,0.060611,resonance,0.100000,0.132463,-0.027929,0.082774,-0.056263,1.216069,0.766375,-0.110702,0.186996,spiral_log,0.100000,0.139948,-0.024440,-0.105793,-0.036098,1.183791,0.869246,0.081353,-0.138547,spiral_log,0.100000,0.124786,0.014983,-0.050437,0.036098,1.857773,0.807123,0.065420,-0.111794,spiral_log,0.100000,0.147519,-0.018197,0.031886,0.056263,2.702938,0.906031,-0.050083,0.085808,spiral_log
11.000,-0.127700,1.587098,0.293459,0.101315,0.002368,-0.041642,-0.040172,0.700000,0.438240,0.044010,-0.048822,adaptive,0.293459,0.163339,-0.010249,0.070091,-0.091843,1.205326,0.429426,-0.080340,0.090929,tanh,0.293459,0.194386,-0.002429,-0.090228,-0.075240,1.156107,0.483184,0.087799,-0.099229,tanh,0.293459,0.155683,-0.016070,-0.003433,-0.000075,1.817506,0.471651,-0.012637,0.014405,tanh,0.293459,0.210011,-0.014590,0.044285,0.024376,2.642280,0.502209,-0.058875,0.065206,adaptive
12.000,-0.119218,1.559221,0.406809,0.117773,0.010988,0.028444,-0.076412,0.700000,0.372806,-0.017455,0.017938,tanh,0.406809,0.199752,0.002648,0.067782,-0.115104,1.195617,0.386021,-0.065134,0.058262,spiral_log,0.406809,0.288705,0.020805,-0.050417,-0.105425,1.132076,0.420688,0.071222,-0.068333,adaptive,0.406809,0.161134,0.004816,0.042203,-0.036042,1.782328,0.388368,-0.037387,0.036111,adaptive,0.406809,0.239136,-0.014619,0.046501,-0.008769,2.589522,0.439903,-0.061120,0.062586,tanh
