event_type,t_start,t_end,metric,value,severity,scale
anomaly,114,116,S(t),5.927706,medium,
anomaly,208,210,S(t),4.391419,medium,
anomaly,214,216,S(t),3.574630,low,
anomaly,308,310,S(t),5.784351,medium,
anomaly,314,316,S(t),5.395048,medium,
anomaly,320,322,S(t),3.988443,low,
anomaly,408,410,S(t),5.805056,medium,
anomaly,414,416,S(t),4.754760,medium,
anomaly,420,422,S(t),4.199618,low,
anomaly,52,98,A_mean(t),4.250652,medium,
anomaly,53,97,A_mean(t),4.048002,low,
anomaly,54,97,A_mean(t),3.745570,low,
anomaly,55,96,A_mean(t),3.429293,low,
anomaly,56,94,A_mean(t),3.136255,low,
anomaly,100,149,A_mean(t),8.155942,medium,
anomaly,101,150,A_mean(t),8.155942,medium,
anomaly,102,150,A_mean(t),7.195350,medium,
anomaly,103,150,A_mean(t),6.372172,medium,
anomaly,104,150,A_mean(t),5.802742,medium,
anomaly,105,145,A_mean(t),5.327008,medium,
anomaly,106,144,A_mean(t),4.877402,medium,
anomaly,107,143,A_mean(t),4.450026,medium,
anomaly,108,142,A_mean(t),4.055781,low,
anomaly,109,141,A_mean(t),3.701610,low,
anomaly,152,198,A_mean(t),4.659322,medium,
anomaly,153,198,A_mean(t),4.296680,medium,
anomaly,154,197,A_mean(t),3.910332,low,
anomaly,155,197,A_mean(t),3.551280,low,
anomaly,156,195,A_mean(t),3.230889,low,
anomaly,200,249,A_mean(t),8.155942,medium,
anomaly,201,250,A_mean(t),8.155942,medium,
anomaly,202,247,A_mean(t),7.386612,medium,
anomaly,203,246,A_mean(t),6.748244,medium,
anomaly,204,246,A_mean(t),6.213073,medium,
anomaly,205,245,A_mean(t),5.681206,medium,
anomaly,206,244,A_mean(t),5.155481,medium,
anomaly,207,243,A_mean(t),4.662337,medium,
anomaly,208,242,A_mean(t),4.217642,low,
anomaly,209,241,A_mean(t),3.826141,low,
anomaly,252,299,A_mean(t),4.111974,low,
anomaly,253,298,A_mean(t),3.805532,low,
anomaly,254,297,A_mean(t),3.523916,low,
anomaly,255,295,A_mean(t),3.250593,low,
anomaly,302,348,A_mean(t),9.620334,high,
anomaly,303,348,A_mean(t),8.767905,high,
anomaly,304,347,A_mean(t),7.776564,medium,
anomaly,305,346,A_mean(t),6.819872,medium,
anomaly,306,346,A_mean(t),5.970474,medium,
anomaly,307,345,A_mean(t),5.247196,medium,
anomaly,308,343,A_mean(t),4.643010,medium,
anomaly,309,342,A_mean(t),4.141530,low,
anomaly,310,341,A_mean(t),3.724922,low,
anomaly,311,339,A_mean(t),3.377038,low,
anomaly,352,398,A_mean(t),3.747595,low,
anomaly,353,397,A_mean(t),3.563851,low,
anomaly,354,396,A_mean(t),3.337515,low,
anomaly,400,449,A_mean(t),10.195026,high,
anomaly,401,450,A_mean(t),10.195026,high,
anomaly,402,448,A_mean(t),9.663627,high,
anomaly,403,448,A_mean(t),8.786382,high,
anomaly,404,447,A_mean(t),7.789367,medium,
anomaly,405,446,A_mean(t),6.828510,medium,
anomaly,406,446,A_mean(t),5.976283,medium,
anomaly,407,445,A_mean(t),5.251157,medium,
anomaly,408,443,A_mean(t),4.645775,medium,
anomaly,409,442,A_mean(t),4.143513,low,
