event_type,t_start,t_end,metric,value,severity
anomaly,194,199,A_mean(t),1614.142857,high
anomaly,195,199,A_mean(t),393.241425,high
anomaly,196,199,A_mean(t),138.435752,high
anomaly,197,199,A_mean(t),55.257774,high
anomaly,171,180,entropy_S,5.604203,medium
anomaly,172,180,entropy_S,4.381311,medium
anomaly,173,180,entropy_S,3.676030,low
anomaly,174,180,entropy_S,3.210554,low
anomaly,175,180,entropy_S,2.881191,low
anomaly,51,60,effort(t),3.512870,low
anomaly,52,59,effort(t),3.296953,low
anomaly,53,58,effort(t),3.049663,low
anomaly,108,157,effort(t),8205210423037840318390312765167176940452501552525283572357960249347609164698015794756428744554798196485329204848468028340096204800.000000,high
anomaly,109,158,effort(t),7633346829023694939955171387676845510293245042551931557595034213642760761718251121413490444642311561415210236372918988590832156672.000000,high
anomaly,110,159,effort(t),5627830170869393441441170057383620466015557731614460745962829903997112304465892005329641116629238861091606941751582439921390977024.000000,high
anomaly,111,121,effort(t),3303914610311774742216595084749997373539567875946936116608415961442440471058284160216003922921452640185183328808203379658046046208.000000,high
anomaly,112,121,effort(t),1692717092437901265346969115920069588285783463957561173498941216239919659102581632284571049752720611523936113681993970361632292864.000000,high
anomaly,113,121,effort(t),755807180956973824460028824853870559247256461394410104701498859219316152865979580302129077601129029342397462386784720907468275712.000000,high
anomaly,114,121,effort(t),266144448439400912176089173794471941443920595374235729406485658313228932761185096026191327306527823584465140463927040043705696256.000000,high
anomaly,115,121,effort(t),60547080749176570332199764582590443711487625455450830318465701920969195103424884729135917045198885693800587237131814565612355584.000000,high
anomaly,116,121,effort(t),6326692457490435537274101211874059116306111632931894569342019406433230778250384151632530872492570599590788495647573967508602880.000000,high
anomaly,117,121,effort(t),166599072856617252082835774259251808867706723151749479877845094032818799153366909137201702115692244019575057659025063069876224.000000,high
anomaly,118,121,effort(t),332925075719414880849786883868638061933453041894401508168763242596491840194841766224938959603225869289310899721623899734016.000000,high
anomaly,119,121,effort(t),3318440510889667849191945579042178491198758097872836904084014411911547718396106893257719886893427825200687835552677888.000000,high
anomaly,179,199,effort(t),181.940964,high
anomaly,180,199,effort(t),7.008419,medium
anomaly,181,195,effort(t),4.902302,medium
anomaly,182,193,effort(t),3.953006,low
anomaly,183,191,effort(t),3.375739,low
anomaly,184,189,effort(t),2.973495,low
anomaly,54,103,mean_high_effort,5.783288,medium
anomaly,55,104,mean_high_effort,5.286563,medium
anomaly,56,105,mean_high_effort,4.772696,medium
anomaly,57,106,mean_high_effort,4.372974,medium
anomaly,58,105,mean_high_effort,4.002703,low
anomaly,59,95,mean_high_effort,3.669366,low
anomaly,60,85,mean_high_effort,3.385712,low
anomaly,61,75,mean_high_effort,3.034587,low
anomaly,110,159,mean_high_effort,4311358767495463792334497469665975794782016986322667897109414466555632958894779031995219762927516749915261494769872462575271149568.000000,high
anomaly,111,160,mean_high_effort,3938572097666103951996496720521791137485204936414070358762498210730315808806415374684009457270583205844413483314610551577575948288.000000,high
anomaly,112,161,mean_high_effort,2351176697037555978001756272572884739281304020508916633087628476898361799054278249206694849193802463114042373757026091184034938880.000000,high
anomaly,113,162,mean_high_effort,1028478789164532181631870137427211317468727983115159217379181945726077524829883552643427565507849014761244731922849835900974661632.000000,high
anomaly,114,163,mean_high_effort,425199092256677756625578396643361156328647001894686319966410932503205955216594258913395977374281595013870034918668784031418548224.000000,high
anomaly,115,164,mean_high_effort,156492290584701626150462086259541394838824883541928709522574127680841808440979043228023139724292442204874866483773551806655758336.000000,high
anomaly,116,165,mean_high_effort,41225280649412688036111979817650582340652429944948547168980412621679760568466136507218772629687079346497877153228246168891293696.000000,high
anomaly,117,166,mean_high_effort,5328036907089776408858727595964995048724788180706328675328656827651918864689918094015851886033756647816346601644413313672544256.000000,high
anomaly,118,167,mean_high_effort,155298922354227982098947534422566796076096473967538064414926727493326376808254064584521824067801416572431880471678195261767680.000000,high
anomaly,119,168,mean_high_effort,318951907696462275953638123038583500451129746718700016371444323996271044841670455732898055001058384213628319476541657448448.000000,high
anomaly,120,169,mean_high_effort,3185671071925868021081948655880556836753023138949109314783077915359695942471054367766200447929465161524412131005431808.000000,high
anomaly,121,170,mean_high_effort,137613921401550052077308334534245494165193716068967241662288811163370219221923719172269568040152906892050432.000000,high
anomaly,122,171,mean_high_effort,6847972543809414003446979205859627656102697945092238612619985088329066008042012672.000000,high
anomaly,123,172,mean_high_effort,7.000000,medium
anomaly,124,173,mean_high_effort,4.898979,medium
anomaly,125,170,mean_high_effort,3.958114,low
anomaly,126,145,mean_high_effort,3.249394,low
anomaly,127,130,mean_high_effort,2.896254,low
anomaly,105,123,d_effort_dt,107377662926868711412535759002094433737063438605388759185896867237797763755865640089697634462679375907692865871421590723335368474624.000000,high
anomaly,106,123,d_effort_dt,94425724520653068614026257615401650077682401932963751048994288467148564720517910503037404331088319330155177568264242099387174486016.000000,high
anomaly,107,123,d_effort_dt,71535602434153563959401330910187003713264528455490670607272625961553437041238758723718731902750106649091082537331046050855338901504.000000,high
anomaly,108,123,d_effort_dt,48427829021657005524381015078489112692954824898486682354043723804911760273478888444276340776767089442486195991759370018524986605568.000000,high
anomaly,109,123,d_effort_dt,31360522598229341494716615881925556843118597664628417787957069173479526325207894238696726055977489934445619330093444465378415607808.000000,high
anomaly,110,123,d_effort_dt,19895439700885064022734118355538314637791105139317228536669626826603357332375881561720087142962358853197779840587203607777941389312.000000,high
anomaly,111,123,d_effort_dt,12070604264729916814634185598303450859582283791465140751453668712827301991829410263279551421358361390260565900410317311890870501376.000000,high
anomaly,112,123,d_effort_dt,6760095768795762013092027307345416625769276626425347961676690387781084992345686864893012016864983472744566710030593512505776013312.000000,high
anomaly,113,123,d_effort_dt,3331866639655317387850825204978227145678911157884250788368666108509118893064368375682996075690615259518307106434550364555830099968.000000,high
anomaly,114,123,d_effort_dt,1351995456806794030831418714073008948019570502453704530836171647689529199974150173096267845100751000682630965299220704045744259072.000000,high
anomaly,115,123,d_effort_dt,408640934496860613236580803850348160888290803743572407505076970971189376569390606116741204241346988915305869657619064429849083904.000000,high
anomaly,116,123,d_effort_dt,78110613090824162106398381872620028915176447635700240576157911490106873800971481539037017457892474974050038250900889700608770048.000000,high
anomaly,117,123,d_effort_dt,7057577435609644900520910177900212814911002003814615024535785761438591639274064348506743104711623601753370211220326901532852224.000000,high
anomaly,118,123,d_effort_dt,171090055615460922918728811926981400806517419847137868424785899952230177883991086890156652456876372221328382408128403456655360.000000,high
anomaly,119,123,d_effort_dt,333591514148026681835451203539974779090787534024668168875901654828466986353573354808323785873285011510089121067941930991616.000000,high
anomaly,120,123,d_effort_dt,3318473587807662671773117219040676649767194542254748035120553054194365737654886857621460995031556251208268247637950464.000000,high
anomaly,121,123,d_effort_dt,143347834805665869156468988419210543982638366098414607722563779363588187264589773653443558529960204128223232.000000,high
harmonic_emergence,10,103,S(t),2,medium
harmonic_emergence,20,113,S(t),4,medium
harmonic_emergence,30,123,S(t),2,medium
harmonic_emergence,40,133,S(t),2,medium
harmonic_emergence,50,143,S(t),1,low
