event_type,t_start,t_end,metric,value,severity
phase_cycle,11,18,S(t),7,low
phase_cycle,14,27,S(t),13,medium
phase_cycle,15,28,S(t),13,medium
phase_cycle,16,28,S(t),12,medium
phase_cycle,17,27,S(t),10,medium
phase_cycle,18,29,S(t),11,medium
phase_cycle,19,31,S(t),12,medium
phase_cycle,20,32,S(t),12,medium
phase_cycle,21,35,S(t),14,medium
phase_cycle,22,37,S(t),15,medium
phase_cycle,23,39,S(t),16,medium
phase_cycle,24,50,S(t),26,medium
phase_cycle,25,52,S(t),27,medium
phase_cycle,26,54,S(t),28,medium
phase_cycle,41,68,S(t),27,medium
phase_cycle,42,69,S(t),27,medium
phase_cycle,43,69,S(t),26,medium
phase_cycle,44,68,S(t),24,medium
phase_cycle,45,68,S(t),23,medium
phase_cycle,46,67,S(t),21,medium
phase_cycle,47,68,S(t),21,medium
phase_cycle,48,68,S(t),20,medium
phase_cycle,49,69,S(t),20,medium
phase_cycle,50,69,S(t),19,medium
phase_cycle,51,70,S(t),19,medium
phase_cycle,52,69,S(t),17,medium
phase_cycle,53,69,S(t),16,medium
phase_cycle,54,70,S(t),16,medium
phase_cycle,55,70,S(t),15,medium
phase_cycle,56,71,S(t),15,medium
phase_cycle,57,72,S(t),15,medium
phase_cycle,58,72,S(t),14,medium
phase_cycle,59,73,S(t),14,medium
phase_cycle,60,75,S(t),15,medium
phase_cycle,61,76,S(t),15,medium
phase_cycle,62,77,S(t),15,medium
phase_cycle,63,78,S(t),15,medium
phase_cycle,63,76,S(t),13,medium
phase_cycle,64,79,S(t),15,medium
phase_cycle,64,76,S(t),12,medium
phase_cycle,65,81,S(t),16,medium
phase_cycle,65,76,S(t),11,medium
phase_cycle,66,82,S(t),16,medium
phase_cycle,66,76,S(t),10,medium
phase_cycle,67,83,S(t),16,medium
phase_cycle,67,76,S(t),9,low
phase_cycle,68,85,S(t),17,medium
phase_cycle,68,76,S(t),8,low
phase_cycle,69,86,S(t),17,medium
phase_cycle,70,87,S(t),17,medium
phase_cycle,71,88,S(t),17,medium
phase_cycle,72,92,S(t),20,medium
phase_cycle,73,92,S(t),19,medium
phase_cycle,74,93,S(t),19,medium
phase_cycle,75,93,S(t),18,medium
phase_cycle,76,94,S(t),18,medium
phase_cycle,77,94,S(t),17,medium
phase_cycle,78,95,S(t),17,medium
phase_cycle,79,95,S(t),16,medium
phase_cycle,80,96,S(t),16,medium
phase_cycle,81,97,S(t),16,medium
phase_cycle,82,97,S(t),15,medium
phase_cycle,83,96,S(t),13,medium
phase_cycle,84,97,S(t),13,medium
phase_cycle,85,98,S(t),13,medium
phase_cycle,86,98,S(t),12,medium
phase_cycle,87,99,S(t),12,medium
phase_cycle,88,100,S(t),12,medium
phase_cycle,89,101,S(t),12,medium
phase_cycle,90,102,S(t),12,medium
phase_cycle,91,102,S(t),11,medium
phase_cycle,92,103,S(t),11,medium
phase_cycle,93,104,S(t),11,medium
phase_cycle,94,105,S(t),11,medium
phase_cycle,94,102,S(t),8,low
phase_cycle,95,105,S(t),10,medium
phase_cycle,95,102,S(t),7,low
phase_cycle,96,106,S(t),10,medium
phase_cycle,96,102,S(t),6,low
phase_cycle,97,107,S(t),10,medium
phase_cycle,97,102,S(t),5,low
phase_cycle,98,107,S(t),9,low
phase_cycle,98,103,S(t),5,low
phase_cycle,99,107,S(t),8,low
phase_cycle,99,104,S(t),5,low
phase_cycle,100,108,S(t),8,low
phase_cycle,101,109,S(t),8,low
phase_cycle,102,109,S(t),7,low
phase_cycle,116,123,S(t),7,low
phase_cycle,117,124,S(t),7,low
phase_cycle,118,125,S(t),7,low
phase_cycle,119,127,S(t),8,low
phase_cycle,120,128,S(t),8,low
phase_cycle,121,129,S(t),8,low
phase_cycle,122,129,S(t),7,low
phase_cycle,123,130,S(t),7,low
phase_cycle,124,131,S(t),7,low
phase_cycle,125,132,S(t),7,low
phase_cycle,126,132,S(t),6,low
phase_cycle,127,134,S(t),7,low
phase_cycle,128,134,S(t),6,low
phase_cycle,129,134,S(t),5,low
phase_cycle,130,136,S(t),6,low
phase_cycle,131,136,S(t),5,low
phase_cycle,132,137,S(t),5,low
phase_cycle,168,182,S(t),14,medium
phase_cycle,169,183,S(t),14,medium
phase_cycle,170,184,S(t),14,medium
phase_cycle,171,185,S(t),14,medium
phase_cycle,172,187,S(t),15,medium
phase_cycle,173,188,S(t),15,medium
phase_cycle,174,188,S(t),14,medium
phase_cycle,175,190,S(t),15,medium
phase_cycle,176,190,S(t),14,medium
phase_cycle,177,190,S(t),13,medium
phase_cycle,178,190,S(t),12,medium
phase_cycle,179,191,S(t),12,medium
phase_cycle,180,192,S(t),12,medium
phase_cycle,181,193,S(t),12,medium
phase_cycle,182,193,S(t),11,medium
phase_cycle,183,194,S(t),11,medium
phase_cycle,184,196,S(t),12,medium
phase_cycle,185,196,S(t),11,medium
phase_cycle,186,198,S(t),12,medium
phase_cycle,187,199,S(t),12,medium
phase_cycle,188,200,S(t),12,medium
phase_cycle,189,201,S(t),12,medium
phase_cycle,190,203,S(t),13,medium
phase_cycle,191,205,S(t),14,medium
phase_cycle,192,206,S(t),14,medium
phase_cycle,193,208,S(t),15,medium
phase_cycle,194,210,S(t),16,medium
phase_cycle,195,212,S(t),17,medium
phase_cycle,196,214,S(t),18,medium
phase_cycle,197,216,S(t),19,medium
phase_cycle,198,220,S(t),22,medium
phase_cycle,199,230,S(t),31,medium
phase_cycle,201,222,S(t),21,medium
phase_cycle,202,223,S(t),21,medium
phase_cycle,203,218,S(t),15,medium
phase_cycle,204,216,S(t),12,medium
phase_cycle,205,216,S(t),11,medium
phase_cycle,206,216,S(t),10,medium
phase_cycle,207,216,S(t),9,low
phase_cycle,208,216,S(t),8,low
phase_cycle,209,215,S(t),6,low
phase_cycle,210,215,S(t),5,low
phase_cycle,233,282,S(t),49,medium
phase_cycle,234,281,S(t),47,medium
phase_cycle,235,281,S(t),46,medium
phase_cycle,236,280,S(t),44,medium
phase_cycle,237,277,S(t),40,medium
phase_cycle,238,276,S(t),38,medium
phase_cycle,239,274,S(t),35,medium
phase_cycle,240,270,S(t),30,medium
phase_cycle,241,270,S(t),29,medium
phase_cycle,242,271,S(t),29,medium
phase_cycle,243,271,S(t),28,medium
phase_cycle,244,271,S(t),27,medium
phase_cycle,245,269,S(t),24,medium
phase_cycle,246,269,S(t),23,medium
phase_cycle,247,269,S(t),22,medium
phase_cycle,248,269,S(t),21,medium
phase_cycle,249,270,S(t),21,medium
phase_cycle,250,270,S(t),20,medium
phase_cycle,251,269,S(t),18,medium
phase_cycle,252,269,S(t),17,medium
phase_cycle,253,270,S(t),17,medium
phase_cycle,254,270,S(t),16,medium
phase_cycle,255,271,S(t),16,medium
phase_cycle,255,261,S(t),6,low
phase_cycle,256,272,S(t),16,medium
phase_cycle,256,261,S(t),5,low
phase_cycle,257,272,S(t),15,medium
phase_cycle,258,273,S(t),15,medium
phase_cycle,259,274,S(t),15,medium
phase_cycle,260,274,S(t),14,medium
phase_cycle,261,275,S(t),14,medium
phase_cycle,262,276,S(t),14,medium
phase_cycle,263,276,S(t),13,medium
phase_cycle,264,277,S(t),13,medium
phase_cycle,265,278,S(t),13,medium
phase_cycle,266,279,S(t),13,medium
phase_cycle,267,279,S(t),12,medium
phase_cycle,268,280,S(t),12,medium
phase_cycle,269,281,S(t),12,medium
phase_cycle,270,281,S(t),11,medium
phase_cycle,271,281,S(t),10,medium
phase_cycle,272,280,S(t),8,low
phase_cycle,276,281,S(t),5,low
phase_cycle,277,282,S(t),5,low
phase_cycle,278,284,S(t),6,low
phase_cycle,279,285,S(t),6,low
phase_cycle,280,286,S(t),6,low
phase_cycle,281,286,S(t),5,low
phase_cycle,282,288,S(t),6,low
phase_cycle,283,289,S(t),6,low
phase_cycle,284,290,S(t),6,low
phase_cycle,285,292,S(t),7,low
phase_cycle,286,292,S(t),6,low
phase_cycle,287,293,S(t),6,low
phase_cycle,288,294,S(t),6,low
phase_cycle,289,295,S(t),6,low
phase_cycle,290,296,S(t),6,low
phase_cycle,291,297,S(t),6,low
phase_cycle,292,297,S(t),5,low
phase_cycle,371,378,S(t),7,low
phase_cycle,372,379,S(t),7,low
phase_cycle,373,381,S(t),8,low
phase_cycle,374,382,S(t),8,low
phase_cycle,375,385,S(t),10,medium
phase_cycle,376,386,S(t),10,medium
phase_cycle,377,386,S(t),9,low
phase_cycle,378,387,S(t),9,low
phase_cycle,379,387,S(t),8,low
phase_cycle,380,389,S(t),9,low
phase_cycle,381,389,S(t),8,low
phase_cycle,382,390,S(t),8,low
phase_cycle,383,392,S(t),9,low
phase_cycle,384,392,S(t),8,low
phase_cycle,385,393,S(t),8,low
phase_cycle,386,393,S(t),7,low
phase_cycle,387,395,S(t),8,low
phase_cycle,388,396,S(t),8,low
phase_cycle,389,397,S(t),8,low
phase_cycle,390,398,S(t),8,low
phase_cycle,391,399,S(t),8,low
phase_cycle,392,400,S(t),8,low
phase_cycle,393,400,S(t),7,low
phase_cycle,394,401,S(t),7,low
phase_cycle,403,408,S(t),5,low
phase_cycle,404,410,S(t),6,low
phase_cycle,405,411,S(t),6,low
phase_cycle,406,412,S(t),6,low
phase_cycle,407,413,S(t),6,low
phase_cycle,408,413,S(t),5,low
phase_cycle,428,459,S(t),31,medium
phase_cycle,429,459,S(t),30,medium
phase_cycle,430,460,S(t),30,medium
phase_cycle,431,460,S(t),29,medium
phase_cycle,432,460,S(t),28,medium
phase_cycle,433,460,S(t),27,medium
phase_cycle,434,460,S(t),26,medium
phase_cycle,435,441,S(t),6,low
phase_cycle,435,460,S(t),25,medium
phase_cycle,436,443,S(t),7,low
phase_cycle,436,457,S(t),21,medium
phase_cycle,437,444,S(t),7,low
phase_cycle,437,455,S(t),18,medium
phase_cycle,438,446,S(t),8,low
phase_cycle,438,455,S(t),17,medium
phase_cycle,439,447,S(t),8,low
phase_cycle,439,452,S(t),13,medium
phase_cycle,440,447,S(t),7,low
phase_cycle,440,452,S(t),12,medium
phase_cycle,441,448,S(t),7,low
phase_cycle,441,452,S(t),11,medium
phase_cycle,442,449,S(t),7,low
phase_cycle,442,455,S(t),13,medium
phase_cycle,443,450,S(t),7,low
phase_cycle,443,454,S(t),11,medium
phase_cycle,444,451,S(t),7,low
phase_cycle,444,455,S(t),11,medium
phase_cycle,445,456,S(t),11,medium
phase_cycle,445,456,S(t),11,medium
phase_cycle,446,457,S(t),11,medium
phase_cycle,446,457,S(t),11,medium
phase_cycle,447,470,S(t),23,medium
phase_cycle,448,470,S(t),22,medium
phase_cycle,449,469,S(t),20,medium
phase_cycle,450,469,S(t),19,medium
phase_cycle,451,470,S(t),19,medium
phase_cycle,452,470,S(t),18,medium
phase_cycle,453,471,S(t),18,medium
phase_cycle,454,471,S(t),17,medium
phase_cycle,455,472,S(t),17,medium
phase_cycle,456,472,S(t),16,medium
phase_cycle,457,473,S(t),16,medium
phase_cycle,458,474,S(t),16,medium
phase_cycle,459,474,S(t),15,medium
phase_cycle,460,475,S(t),15,medium
phase_cycle,461,475,S(t),14,medium
phase_cycle,462,476,S(t),14,medium
phase_cycle,463,475,S(t),12,medium
phase_cycle,464,476,S(t),12,medium
phase_cycle,465,477,S(t),12,medium
phase_cycle,466,476,S(t),10,medium
phase_cycle,467,477,S(t),10,medium
phase_cycle,468,476,S(t),8,low
phase_cycle,469,475,S(t),6,low
phase_cycle,579,584,S(t),5,low
phase_cycle,580,585,S(t),5,low
phase_cycle,581,586,S(t),5,low
phase_cycle,583,588,S(t),5,low
phase_cycle,585,590,S(t),5,low
phase_cycle,586,592,S(t),6,low
phase_cycle,587,592,S(t),5,low
phase_cycle,603,611,S(t),8,low
phase_cycle,604,613,S(t),9,low
phase_cycle,625,653,S(t),28,medium
phase_cycle,626,654,S(t),28,medium
phase_cycle,627,654,S(t),27,medium
phase_cycle,628,655,S(t),27,medium
phase_cycle,629,655,S(t),26,medium
phase_cycle,630,655,S(t),25,medium
phase_cycle,631,656,S(t),25,medium
phase_cycle,632,655,S(t),23,medium
phase_cycle,633,656,S(t),23,medium
phase_cycle,634,655,S(t),21,medium
phase_cycle,635,656,S(t),21,medium
phase_cycle,636,641,S(t),5,low
phase_cycle,636,655,S(t),19,medium
phase_cycle,637,643,S(t),6,low
phase_cycle,637,653,S(t),16,medium
phase_cycle,638,645,S(t),7,low
phase_cycle,638,651,S(t),13,medium
phase_cycle,639,646,S(t),7,low
phase_cycle,639,650,S(t),11,medium
phase_cycle,640,647,S(t),7,low
phase_cycle,640,650,S(t),10,medium
phase_cycle,641,648,S(t),7,low
phase_cycle,641,650,S(t),9,low
phase_cycle,642,649,S(t),7,low
phase_cycle,642,651,S(t),9,low
phase_cycle,643,650,S(t),7,low
phase_cycle,643,651,S(t),8,low
phase_cycle,644,651,S(t),7,low
phase_cycle,644,652,S(t),8,low
phase_cycle,645,651,S(t),6,low
phase_cycle,645,654,S(t),9,low
phase_cycle,646,652,S(t),6,low
phase_cycle,646,655,S(t),9,low
phase_cycle,647,658,S(t),11,medium
phase_cycle,647,656,S(t),9,low
phase_cycle,648,659,S(t),11,medium
phase_cycle,648,655,S(t),7,low
phase_cycle,649,668,S(t),19,medium
phase_cycle,650,669,S(t),19,medium
phase_cycle,651,667,S(t),16,medium
phase_cycle,652,668,S(t),16,medium
phase_cycle,653,669,S(t),16,medium
