event_type,t_start,t_end,metric,value,severity,scale
anomaly,127,129,S(t),76.447563,high,
anomaly,127,176,C(t),5.198066,medium,
anomaly,128,177,C(t),4.122978,low,
anomaly,129,178,C(t),3.500355,low,
anomaly,130,179,C(t),3.078297,low,
anomaly,98,147,A_mean(t),242.463044,high,
anomaly,99,148,A_mean(t),233.558292,high,
anomaly,100,149,A_mean(t),210.812266,high,
anomaly,101,150,A_mean(t),176.330391,high,
anomaly,102,151,A_mean(t),148.782639,high,
anomaly,103,152,A_mean(t),125.279131,high,
anomaly,104,153,A_mean(t),107.744946,high,
anomaly,105,154,A_mean(t),93.284020,high,
anomaly,106,155,A_mean(t),79.351477,high,
anomaly,107,156,A_mean(t),69.596222,high,
anomaly,108,157,A_mean(t),62.094385,high,
anomaly,109,158,A_mean(t),56.642255,high,
anomaly,110,159,A_mean(t),51.013075,high,
anomaly,111,160,A_mean(t),46.703156,high,
anomaly,112,161,A_mean(t),43.181423,high,
anomaly,127,176,A_mean(t),23.052211,high,
anomaly,128,177,A_mean(t),6.692140,medium,
anomaly,129,178,A_mean(t),4.787701,medium,
anomaly,130,179,A_mean(t),3.897481,low,
anomaly,131,180,A_mean(t),3.352000,low,
anomaly,132,181,A_mean(t),2.972252,low,
anomaly,127,176,f_mean(t),51.058200,high,
anomaly,128,177,f_mean(t),6.934564,medium,
anomaly,129,178,f_mean(t),4.875895,medium,
anomaly,130,179,f_mean(t),3.945481,low,
anomaly,131,180,f_mean(t),3.382866,low,
anomaly,132,181,f_mean(t),2.994000,low,
anomaly,114,128,entropy_S,6.113177,medium,
anomaly,115,128,entropy_S,6.089258,medium,
anomaly,116,128,entropy_S,5.812074,medium,
anomaly,117,119,entropy_S,3.727422,low,
anomaly,123,125,entropy_S,3.372511,low,
anomaly,174,223,entropy_S,4.219744,low,
anomaly,175,224,entropy_S,3.687346,low,
anomaly,176,225,entropy_S,3.281722,low,
anomaly,177,226,entropy_S,2.976777,low,
anomaly,127,176,mean_abs_error,75.634750,high,
anomaly,131,133,mean_abs_error,5.423935,medium,
harmonic_emergence,10,103,S(t),2,medium,
harmonic_emergence,20,113,S(t),2,medium,
harmonic_emergence,40,133,S(t),3,medium,
harmonic_emergence,50,143,S(t),4,medium,
harmonic_emergence,60,153,S(t),2,medium,
harmonic_emergence,70,163,S(t),3,medium,
harmonic_emergence,80,173,S(t),2,medium,
harmonic_emergence,90,183,S(t),2,medium,
phase_cycle,1,7,S(t),6,low,
phase_cycle,2,7,S(t),5,low,
phase_cycle,3,8,S(t),5,low,
fractal_pattern,100,200,C(t),0.770882,medium,10/100
fractal_pattern,100,200,A_mean(t),0.824227,medium,10/100
fractal_pattern,150,250,entropy_S,0.749563,medium,10/100
fractal_pattern,200,300,entropy_S,0.861709,medium,10/100
fractal_pattern,100,200,mean_high_effort,0.688160,medium,10/100
fractal_pattern,150,250,mean_high_effort,0.678868,medium,10/100
fractal_pattern,200,300,mean_high_effort,0.673940,medium,10/100
fractal_pattern,250,350,mean_high_effort,0.671904,medium,10/100
fractal_pattern,300,400,mean_high_effort,0.671302,medium,10/100
fractal_pattern,350,450,mean_high_effort,0.670512,medium,10/100
