t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
0,-0.000011,0.926469,0,0.000870,0,0.000017,0,0.000396,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable
0.100000,0.001530,0.928852,0,0.001185,0,0.000016,1.589053,0.000542,1.348769,0,0.100000,0.000000,1.589053,0,0,1,1,stable
0.200000,0.003384,0.926365,-0.000000,0.001582,0,0.000016,1.572487,0.000726,1.356829,0,0.100000,0.000000,1.572487,15.890532,0,1,1,stable
0.300000,0.004580,0.916137,-0.000000,0.002063,0,0.000016,1.553142,0.000951,1.363293,0.000000,0.100000,0.000000,1.553142,-0.165666,0,1,1,stable
0.400000,0.004242,0.899078,-0.000000,0.002631,0,0.000015,1.531704,0.001219,1.367475,0.000373,0.100000,0.000000,1.531704,-0.193446,0,1,1,stable
0.500000,0.002337,0.880554,-0.000000,0.003280,0,0.000015,1.509106,0.001527,1.368921,0.001856,0.100000,0.000000,1.509106,-0.214384,0,1,1,stable
0.600000,-0.000406,0.868472,-0.000000,0.004002,0,0.000015,1.492234,0.001873,1.367475,0.002996,0.100000,0.000000,1.492234,-0.225977,0,1,1,stable
0.700000,-0.003562,0.869010,-0.000000,0.004786,0,0.000016,1.481589,0.002252,1.363293,0.003029,0.100000,0.000000,1.481589,-0.168718,0,1,1,stable
0.800000,-0.007531,0.882722,0.000000,0.005618,0,0.000015,1.471186,0.002658,1.356829,0.002920,0.100000,0.000000,1.471186,-0.106454,0,1,1,stable
0.900000,-0.012366,0.904370,0.000000,0.006488,0,0.000015,1.460813,0.003088,1.348769,0.002431,0.100000,0.000000,1.460813,-0.104026,0,1,1,stable
1,-0.016756,0.926469,0.000000,0.007385,0,0.000015,1.450272,0.003537,1.339942,0.002167,0.427208,0.000000,1.580770,-0.103729,0,3.560471,1,stable
1.100000,-0.019008,0.943205,0.000000,0.008302,0,0.000015,1.439426,0.004002,1.331227,0.002860,0.448962,0.000000,1.571561,-0.105416,0,4.703962,1,chronique
1.200000,-0.018521,0.952136,0.000000,0.009232,0,0.000015,1.428239,0.004480,1.323459,0.006734,0.388324,0.000000,1.571561,-0.108459,0,4.871332,1,stable
1.300000,-0.015770,0.953688,0.000000,0.010170,0,0.000015,1.416789,0.004970,1.317356,0.011814,0.314775,0.000000,1.571561,-0.111871,0,4.481109,1,stable
1.400000,-0.011093,0.949772,0.000000,0.011115,0,0.000015,1.405270,0.005470,1.313467,0.014500,0.206058,0.000000,1.571561,-0.114494,0,4.309522,1,stable
1.500000,-0.003792,0.942661,0.000000,0.012064,0,0.000015,1.393969,0.005981,1.312132,0.015734,0.107750,0.000000,1.571561,-0.115191,0,4.150592,1,stable
