t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t)
0,-0.000001,0.926469,0,0.000870,0,0.000022,0,0.000396,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000
0.100000,0.000000,0.928852,0,0.002985,0,0.000021,2.088287,0.001428,1.348769,0,0.100000,0.000000,2.088287,0,0,1,1,stable,-0.000000,0.000000,0.000000
0.200000,0.000001,0.926365,-0.000000,0.006751,0,0.000020,2.003920,0.003492,1.356829,0,0.100000,0.000000,2.003920,20.882872,0,1,1,stable,0.000000,0.000000,0.000000
0.300000,0.000006,0.916137,-0.000000,0.012118,0,0.000019,1.953537,0.006875,1.363293,0.000000,0.100000,0.000000,1.953537,-0.843667,0,1,1,stable,0.000000,0.000000,0.000000
0.400000,0.000009,0.899078,-0.000000,0.018927,0,0.000019,1.918917,0.011748,1.367475,0.000000,0.100000,0.000000,1.918917,-0.503829,0,1,1,stable,0.000000,0.000000,0.000000
0.500000,-0.000002,0.880554,-0.000000,0.026937,0,0.000019,1.884092,0.018082,1.368921,0.000000,0.100000,0.000000,1.884092,-0.346202,0,1,1,stable,0.000000,-0.000000,0.000000
0.600000,-0.000002,0.868472,-0.000000,0.035783,0,0.000018,1.845948,0.025599,1.367475,0.000000,0.100000,0.000000,1.845948,-0.348248,0,1,1,stable,-0.000000,-0.000000,0.000000
0.700000,0.000023,0.869010,-0.000000,0.044972,0,0.000018,1.801274,0.033809,1.363293,0.000000,0.100000,0.000000,1.801274,-0.381445,0,1,1,stable,-0.000000,-0.000000,0.000000
0.800000,-0.000051,0.882722,0.000000,0.053948,3,0.000018,1.744568,0.042112,1.356829,0.000000,0.100000,0.000000,1.744568,-0.446740,0,1,1,stable,-0.000000,-0.000000,0.000000
0.900000,-0.000246,0.904370,0.000000,0.062173,3,0.000018,1.678135,0.049894,1.348769,0.000004,0.100000,0.000000,1.678135,-0.567055,0,1,1,stable,-0.000000,-0.000000,0.000000
