t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000023,0,0.000457,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000,0.100000,0.000457,1.339942
0.100000,0.002592,0.992522,0,0.002286,0,0.000022,0.319339,0.001074,1.342872,0,0.100000,0.444409,0.319339,0,0,1,1,stable,0.444409,0.000000,0.000000,0.120927,0.001074,1.342872
0.200000,0.009026,0.992728,-0.000000,0.004382,0,0.000021,0.559203,0.002172,1.345525,0,0.100000,0.399968,0.559203,3.193388,0,1,1,stable,0.399968,0.000000,0.000000,0.141753,0.002172,1.345525
0.300000,0.016456,0.992063,-0.000000,0.007385,0,0.000021,0.901190,0.003959,1.347639,0.000000,0.100000,0.359972,0.901190,2.398643,0,1,1,stable,0.359972,0.000000,0.000000,0.162379,0.003959,1.347639
0.400000,0.016219,0.990669,-0.000000,0.011348,0,0.000021,1.379408,0.006708,1.348999,0.004066,0.100000,0.323974,1.379408,3.419864,0,1,1,stable,0.323974,0.000000,0.000000,0.182707,0.006708,1.348999
0.500000,0.008322,0.989045,-0.000000,0.016387,0,0.000021,1.889667,0.010777,1.349468,0.066538,0.100000,0.291577,1.889667,4.782189,0,1,1,stable,0.291577,0.000000,0.000000,0.202643,0.010777,1.349468
0.600000,0.006648,0.987842,-0.000000,0.022719,3,0.000021,1.754474,0.016594,1.348999,0.107829,0.100000,0.262419,1.754474,5.102586,0,1,1,stable,0.262419,0.000000,0.000000,0.222096,0.016594,1.348999
0.700000,0.011214,0.987566,-0.000000,0.030638,3,0.000021,1.629932,0.024583,1.347639,0.095840,0.100000,0.236177,1.629932,-1.351930,0,1,1,stable,0.236177,0.000000,0.000000,0.240981,0.024583,1.347639
0.800000,0.013139,0.988351,-0.000000,0.040433,3,0.000022,1.499269,0.035033,1.345525,0.116350,0.100000,0.212560,1.499269,-1.245424,0,1,1,stable,0.212560,0.000000,0.000000,0.259218,0.035033,1.345525
0.900000,-0.003359,0.989907,0.000000,0.052275,1,0.000023,1.357075,0.047953,1.342872,0.091018,0.100000,0.191304,1.357075,-1.306626,0,1,1,stable,0.191304,-0.000000,0.000000,0.276734,0.047953,1.342872
1,-0.080706,0.991674,0.000000,0.066110,1,0.000026,1.205475,0.063005,1.339942,0.229779,0.656113,0.172173,1.822071,-1.421941,0,1.897281,1,stable,0.172173,-0.000000,0.000000,0.293459,0.063005,1.339942
1.100000,-0.174495,0.993071,0.000000,0.081600,1,0.000022,1.050980,0.079554,1.337025,1.885965,0.859386,0.154956,1.758024,-1.515997,0,8.941727,1,stable,0.154956,-0.000000,0.000000,0.309334,0.079554,1.337025
