t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000026,0,0.000457,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.119203,0.119203,0.100000,0.000457,1.339942
0.100000,0.001825,0.992522,0,0.001655,0,0.000023,0.399710,0.000765,1.342872,0,0.100000,0.469053,0.399710,0,0,1,1,stable,0.469099,0.000046,0.125071,0.125071,0.120927,0.000765,1.342872
0.200000,0.005020,0.992728,-0.000000,0.002576,0,0.000023,0.459551,0.001216,1.345525,0,0.100000,0.445515,0.459551,3.997104,0,1,1,stable,0.445648,0.000133,0.130942,0.130942,0.141753,0.001216,1.345525
0.300000,0.008431,0.992063,-0.000002,0.003806,0,0.000022,0.538686,0.001849,1.347639,0,0.100000,0.423143,0.538686,0.598403,0,1,1,stable,0.423376,0.000233,0.136811,0.136811,0.162379,0.001849,1.347639
0.400000,0.009875,0.990669,-0.000007,0.005373,0,0.000023,0.638488,0.002705,1.348999,0.000615,0.100000,0.401943,0.638488,0.791350,0,1,1,stable,0.402226,0.000283,0.142676,0.142676,0.182707,0.002705,1.348999
0.500000,0.008587,0.989045,-0.000014,0.007272,0,0.000023,0.756732,0.003820,1.349468,0.005565,0.100000,0.381882,0.756732,0.998019,0,1,1,stable,0.382138,0.000256,0.148534,0.148534,0.202643,0.003820,1.349468
0.600000,0.006486,0.987842,-0.000021,0.009467,0,0.000023,0.895418,0.005229,1.348999,0.011558,0.100000,0.362850,0.895418,1.182448,0,1,1,stable,0.363051,0.000201,0.154381,0.154381,0.222096,0.005229,1.348999
0.700000,0.003709,0.987566,-0.000023,0.011923,0,0.000022,1.062966,0.006981,1.347639,0.010223,0.100000,0.344795,1.062966,1.386855,0,1,1,stable,0.344915,0.000120,0.160214,0.160214,0.240981,0.006981,1.347639
0.800000,-0.005638,0.988351,-0.000010,0.014649,0,0.000022,1.266433,0.009148,1.345525,0.009240,0.100000,0.327866,1.266433,1.675478,0,1,1,stable,0.327679,-0.000187,0.166030,0.166030,0.259218,0.009148,1.345525
0.900000,-0.026682,0.989907,0.000018,0.017667,0,0.000022,1.289703,0.011761,1.342872,0.021819,0.100000,0.312202,1.289703,2.034677,0,1,1,stable,0.311280,-0.000922,0.171826,0.171826,0.276734,0.011761,1.342872
1,-0.049810,0.991674,0.000043,0.020950,3,0.000022,1.202331,0.014809,1.339942,0.080415,0.654392,0.297423,1.278068,0.232701,0,4.401639,1,stable,0.295641,-0.001782,0.177600,0.177600,0.293459,0.014809,1.339942
1.100000,-0.056283,0.993071,0.000039,0.024688,3,0.000023,1.161712,0.018483,1.337026,0.071331,0.661068,0.282795,1.252823,-0.873725,0,7.679878,1,stable,0.280715,-0.002080,0.183347,0.183347,0.309334,0.018483,1.337026
1.200000,-0.036536,0.993711,0.000019,0.029455,3,0.000023,1.182855,0.023231,1.334405,0.206853,0.514849,0.267904,1.252823,-0.406188,0,7.546426,1,stable,0.266511,-0.001393,0.189065,0.189065,0.324303,0.023231,1.334405
1.300000,-0.005505,0.993500,0.000035,0.035690,3,0.000023,1.193866,0.029333,1.332332,0.575590,0.348743,0.253296,1.252823,0.211426,0,6.676006,1,stable,0.253073,-0.000223,0.194751,0.194751,0.338318,0.029333,1.332332
1.400000,-0.013902,0.992622,0.000133,0.042966,3,0.000022,1.127351,0.036496,1.331007,0.596391,0.330157,0.240972,1.252823,0.110110,0,7.546426,1,stable,0.240401,-0.000571,0.200401,0.200401,0.351335,0.036496,1.331007
1.500000,-0.067470,0.991442,0.000268,0.049524,1,0.000023,0.940144,0.043471,1.330550,0.921770,0.391333,0.231151,1.252823,-0.665142,0,6.676006,1,stable,0.228335,-0.002816,0.206014,0.206014,0.363320,0.043471,1.330550
1.600000,-0.038927,0.990387,0.000232,0.055247,1,0.000023,0.781110,0.049940,1.330999,1.760343,0.652574,0.218380,1.238083,-1.872074,0,7.929451,1,stable,0.216691,-0.001690,0.211585,0.211585,0.374240,0.049940,1.330999
1.700000,0.121385,0.989817,-0.000091,0.063901,1,0.000023,0.911958,0.059167,1.332318,2.417174,0.571376,0.200445,1.238083,-1.590337,0,7.857293,1,stable,0.205719,0.005274,0.217113,0.217113,0.384069,0.059167,1.332318
1.800000,0.272751,0.989924,-0.000388,0.077281,1,0.000023,1.084810,0.073117,1.334388,8.537574,0.850410,0.183689,1.238083,1.308474,0,13.149598,1,stable,0.195860,0.012171,0.222593,0.222593,0.392784,0.073117,1.334388
1.900000,0.215567,0.990647,-0.000404,0.091451,3,0.000023,0.957442,0.087640,1.337010,6.511402,0.845130,0.177224,1.238083,1.728521,0,27.619647,1,stable,0.187052,0.009827,0.228024,0.228024,0.400369,0.087640,1.337010
2,0.063620,0.991674,-0.000242,0.098322,3,0.000023,0.557107,0.094547,1.339915,17.426283,0.675943,0.175564,1.238083,-1.273677,0,22.942278,1,stable,0.178494,0.002930,0.233402,0.233402,0.406809,0.094547,1.339915
2.100000,-0.026834,0.992522,-0.000173,0.100266,2,0.000023,0.482067,0.098259,1.342855,19.455362,0.634266,0.171143,1.227038,-4.003349,0,19.619696,1,stable,0.169806,-0.001336,0.238725,0.238725,0.412092,0.098259,1.342855
2.200000,-0.052261,0.992728,-0.000005,0.106280,4,0.000023,0.843009,0.106049,1.345540,17.277425,0.638690,0.163836,1.227038,-0.750407,0,13.441309,1,stable,0.161208,-0.002628,0.243990,0.243990,0.416209,0.106049,1.345540
2.300000,-0.128284,0.992063,0.000205,0.117228,4,0.000023,0.627767,0.116638,1.347667,17.900184,0.648495,0.159413,1.227038,3.609425,0,10.222247,1,stable,0.152935,-0.006478,0.249193,0.249193,0.419154,0.116638,1.347667
2.400000,0.109025,0.990669,0.000250,0.124743,4,0.000022,0.903843,0.123018,1.348987,16.437441,0.662770,0.139261,1.227038,-2.152419,0,10.193298,1,stable,0.144764,0.005504,0.254334,0.254334,0.420923,0.123018,1.348987
2.500000,0.405251,0.989045,-0.000292,0.145650,1,0.000023,0.775155,0.142235,1.349484,34.082246,0.766274,0.116950,1.227038,2.760757,0,10.164512,1,stable,0.137971,0.021022,0.259408,0.259408,0.421513,0.142235,1.349484
2.600000,0.255717,0.987842,-0.000056,0.166732,4,0.000023,0.713046,0.162255,1.349093,29.950771,0.799956,0.119257,1.216150,-1.286878,0,12.790130,1,stable,0.132773,0.013516,0.264414,0.264414,0.420923,0.162255,1.349093
2.700000,-0.309266,0.987566,0.000521,0.166455,3,0.000023,0.268165,0.162125,1.347698,59.086208,0.674735,0.144072,1.216150,-0.621090,0,11.091916,1,stable,0.127228,-0.016844,0.269348,0.269348,0.419154,0.162125,1.347698
