t,S(t),gamma,gamma_mean(t),An_mean(t),effort(t)
0,-0.000007,0.500000,0.500000,0.000221,0
0.100000,0.000763,0.537643,0.537643,0.000435,0.281438
0.200000,0.002235,0.574953,0.574953,0.000804,0.311822
0.300000,0.003650,0.611596,0.611596,0.001403,0.364502
0.400000,0.003074,0.647250,0.647250,0.002312,0.441430
0.500000,-0.001573,0.681596,0.681596,0.003585,0.534064
0.600000,-0.009946,0.714331,0.714331,0.005217,0.628233
0.700000,-0.017808,0.745163,0.745163,0.007209,0.725104
0.800000,-0.019695,0.773819,0.773819,0.009705,0.864917
0.900000,-0.013406,0.800044,0.800044,0.013050,0.873727
1,-0.000629,0.823607,0.823607,0.017679,0.878522
1.100000,0.020416,0.844297,0.844297,0.023935,0.864725
1.200000,0.057175,0.861931,0.861931,0.032278,0.843274
1.300000,0.101180,0.876352,0.876352,0.043298,0.817994
1.400000,0.119863,0.887433,0.887433,0.055503,0.700463
1.500000,0.082918,0.895075,0.895075,0.064359,0.439540
1.600000,-0.009543,0.899211,0.899211,0.066325,0.569930
1.700000,-0.119402,0.899803,0.899803,0.060527,0.351949
1.800000,-0.151378,0.896846,0.896846,0.052305,0.486583
1.900000,-0.121293,0.890367,0.890367,0.056196,0.236002
2,-0.014567,0.880423,0.880423,0.069276,0.607375
2.100000,0.169992,0.867102,0.867102,0.095251,0.871215
2.200000,0.329338,0.850523,0.850523,0.132495,0.907989
2.300000,0.270850,0.830832,0.830832,0.156191,0.531301
2.400000,0.117566,0.808205,0.808205,0.140634,0.763470
2.500000,-0.035315,0.782843,0.782843,0.122485,0.546516
2.600000,-0.146159,0.754970,0.754970,0.110953,0.784106
2.700000,-0.107148,0.724833,0.724833,0.105252,0.845438
2.800000,0.001690,0.692701,0.692701,0.121215,0.681067
2.900000,0.022029,0.658859,0.658859,0.138282,0.530887
3,-0.070492,0.623607,0.623607,0.145322,0.397712
3.100000,-0.051617,0.587257,0.587257,0.136395,0.905768
3.200000,0.099362,0.550133,0.550133,0.136146,0.708127
3.300000,0.253088,0.512564,0.512564,0.149864,0.499603
3.400000,0.386778,0.474884,0.474884,0.164247,0.503870
3.500000,0.379918,0.437426,0.437426,0.176723,0.512938
3.600000,0.111555,0.400524,0.400524,0.176509,0.412297
3.700000,-0.240319,0.364505,0.364505,0.164925,0.510429
3.800000,-0.385840,0.329688,0.329688,0.146861,0.690649
3.900000,-0.305919,0.296383,0.296383,0.144333,0.450890
4,-0.041573,0.264886,0.264886,0.154689,0.564511
4.100000,0.254302,0.235475,0.235475,0.168036,0.619928
4.200000,0.357569,0.208413,0.208413,0.176114,0.533578
4.300000,0.237836,0.183938,0.183938,0.177742,0.483789
4.400000,0.047302,0.162269,0.162269,0.174090,0.507443
4.500000,-0.093713,0.143597,0.143597,0.171087,0.444453
4.600000,-0.137236,0.128089,0.128089,0.171672,0.426079
4.700000,-0.096843,0.115883,0.115883,0.173834,0.404074
4.800000,-0.066755,0.107085,0.107085,0.175725,0.304200
4.900000,-0.108559,0.101775,0.101775,0.176813,0.183233
5,-0.183472,0.100000,0.100000,0.177170,0.088058
5.100000,-0.187422,0.101775,0.101775,0.176831,0.105267
5.200000,-0.058264,0.107085,0.107085,0.176708,0.194681
5.300000,0.172083,0.115883,0.115883,0.178050,0.255472
5.400000,0.385190,0.128089,0.128089,0.180693,0.332993
5.500000,0.412167,0.143597,0.143597,0.182850,0.363113
5.600000,0.178471,0.162269,0.162269,0.183266,0.363699
5.700000,-0.177122,0.183938,0.183938,0.182022,0.378110
5.800000,-0.385306,0.208413,0.208413,0.178139,0.422809
5.900000,-0.316528,0.235475,0.235475,0.175068,0.403673
6,-0.043981,0.264886,0.264886,0.177359,0.432538
6.100000,0.216216,0.296383,0.296383,0.180398,0.398339
6.200000,0.277053,0.329688,0.329688,0.181280,0.351478
6.300000,0.167211,0.364505,0.364505,0.183681,0.343506
6.400000,0.033904,0.400524,0.400524,0.178901,0.356004
6.500000,-0.030738,0.437426,0.437426,0.172422,0.379148
6.600000,-0.040643,0.474884,0.474884,0.177379,0.354617
6.700000,-0.011846,0.512564,0.512564,0.180623,0.361229
