t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000027,0,0.000457,1.339942,0,1,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.300000,0.300000,0.100000,0.000457,1.339942
0.100000,0.001825,0.992522,0,0.001655,0,0.000023,0.165103,0.000765,1.342872,0,1,0.100000,0.468988,0.165103,0,0,1,1,stable,0.469099,0.000111,0.300000,0.300000,0.120927,0.000765,1.342872
0.200000,0.005050,0.992728,-0.000000,0.002592,0,0.000022,0.239043,0.001224,1.345525,0,1,0.100000,0.445347,0.239043,1.651030,0,1,1,stable,0.445653,0.000306,0.300000,0.300000,0.141753,0.001224,1.345525
0.300000,0.008556,0.992063,-0.000006,0.003863,0,0.000022,0.333385,0.001875,1.347639,0.000000,0.993307,0.100000,0.422877,0.333385,0.739401,0,1,1,stable,0.423395,0.000518,0.300000,0.300000,0.162379,0.001875,1.347639
0.400000,0.010132,0.990669,-0.000016,0.005495,0,0.000022,0.447637,0.002760,1.348999,0.000595,0.993307,0.100000,0.401656,0.447637,0.943418,0,1,1,stable,0.402267,0.000611,0.300000,0.300000,0.182707,0.002760,1.348999
0.500000,0.008888,0.989045,-0.000030,0.007456,0,0.000022,0.572690,0.003902,1.349468,0.005560,0.993306,0.100000,0.381668,0.572690,1.142519,0,1,1,stable,0.382203,0.000535,0.300000,0.300000,0.202643,0.003902,1.349468
0.600000,0.006627,0.987842,-0.000045,0.009653,0,0.000022,0.705324,0.005309,1.348999,0.012075,0.993305,0.100000,0.362737,0.705324,1.250531,0,1,1,stable,0.363136,0.000399,0.300000,0.300000,0.222096,0.005309,1.348999
0.700000,0.003712,0.987566,-0.000048,0.012008,0,0.000021,0.861440,0.007022,1.347639,0.010992,0.993305,0.100000,0.344786,0.861440,1.326346,0,1,1,stable,0.345012,0.000226,0.300000,0.300000,0.240981,0.007022,1.347639
0.800000,-0.005349,0.988351,-0.000020,0.014553,0,0.000021,1.059950,0.009126,1.345525,0.009984,0.993305,0.100000,0.328100,1.059950,1.561155,0,1,1,stable,0.327779,-0.000320,0.300000,0.300000,0.259218,0.009126,1.345525
0.900000,-0.026050,0.989907,0.000034,0.017343,3,0.000022,1.087276,0.011632,1.342872,0.020376,0.993303,0.100000,0.312935,1.087276,1.985098,0,1,1,stable,0.311365,-0.001571,0.300000,0.300000,0.276734,0.011632,1.342872
1,-0.047979,0.991674,0.000078,0.020304,3,0.000023,0.990213,0.014466,1.339943,0.077441,0.993292,0.644666,0.298568,1.073613,0.273263,0,4.350401,1,stable,0.295669,-0.002899,0.300000,0.300000,0.293459,0.014466,1.339943
1.100000,-0.053579,0.993071,0.000066,0.023777,1,0.000022,0.981052,0.017948,1.337026,0.066181,0.993295,0.651169,0.283890,1.045813,-0.970627,0,7.239894,1,stable,0.280651,-0.003239,0.300000,0.300000,0.309334,0.017948,1.337026
1.200000,-0.034997,0.993711,0.000027,0.028606,3,0.000022,1.060950,0.022726,1.334405,0.199244,0.993269,0.504243,0.268473,1.045813,-0.091616,0,7.057572,1,stable,0.266357,-0.002116,0.300000,0.300000,0.324303,0.022726,1.334405
1.300000,-0.003180,0.993500,0.000051,0.035353,3,0.000022,1.106390,0.029125,1.332333,0.516380,0.993208,0.340797,0.253070,1.069392,0.798989,0,6.261856,1,stable,0.252868,-0.000203,0.300000,0.300000,0.338318,0.029125,1.332333
1.400000,-0.010339,0.992622,0.000204,0.043450,3,0.000022,1.044657,0.036771,1.331009,0.576845,0.993197,0.340303,0.240847,1.084872,0.454397,0,7.057572,1,stable,0.240208,-0.000639,0.300000,0.300000,0.351335,0.036771,1.331009
