t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000026,0,0.000457,1.339942,0,1,0.100000,0.493789,0,0,0,1,1,1,stable,0.493788,-0.000000,0.447059,0.447059,0.100000,0.000457,1.339942
0.100000,0.001660,0.992522,0,0.001514,0,0.000022,0.158981,0.000698,1.342872,0,1,0.100000,0.468948,0.158981,0,0,1,1,1,stable,0.469099,0.000151,0.449551,0.449551,0.120927,0.000698,1.342872
0.200000,0.004298,0.992728,-0.000000,0.002229,0,0.000021,0.209809,0.001042,1.345525,0,1,0.100000,0.445263,0.209809,1.589811,0,1,1,1,stable,0.445656,0.000393,0.452046,0.452046,0.141753,0.001042,1.345525
0.300000,0.007039,0.992063,-0.000008,0.003182,0,0.000020,0.272261,0.001516,1.347639,0.000000,0.993307,0.100000,0.422760,0.272261,0.508283,0,1,1,1,stable,0.423405,0.000645,0.454542,0.454542,0.162379,0.001516,1.347639
0.400000,0.008389,0.990669,-0.000021,0.004393,0,0.000021,0.345296,0.002142,1.348999,0.000342,0.993307,0.100000,0.401515,0.345296,0.624514,0,1,1,1,stable,0.402287,0.000772,0.457040,0.457040,0.182707,0.002142,1.348999
0.500000,0.007588,0.989045,-0.000038,0.005831,0,0.000021,0.419113,0.002922,1.349468,0.002801,0.993307,0.100000,0.381534,0.419113,0.730351,0,1,1,1,stable,0.382235,0.000701,0.459539,0.459539,0.202643,0.002922,1.349468
0.600000,0.005341,0.987842,-0.000054,0.007398,0,0.000020,0.486828,0.003838,1.348999,0.006459,0.993306,0.100000,0.362684,0.486828,0.738176,0,1,1,1,stable,0.363180,0.000496,0.462040,0.462040,0.222096,0.003838,1.348999
0.700000,0.001815,0.987566,-0.000055,0.008983,0,0.000020,0.553511,0.004881,1.347639,0.007057,0.993306,0.100000,0.344890,0.553511,0.677145,0,1,1,1,stable,0.345061,0.000171,0.464543,0.464543,0.240981,0.004881,1.347639
0.800000,-0.005809,0.988351,-0.000027,0.010564,0,0.000020,0.634866,0.006082,1.345525,0.006986,0.993306,0.100000,0.328365,0.634866,0.666834,0,1,1,1,stable,0.327822,-0.000544,0.467047,0.467047,0.259218,0.006082,1.345525
0.900000,-0.020342,0.989907,0.000031,0.012204,0,0.000020,0.722749,0.007454,1.342872,0.011437,0.993305,0.100000,0.313308,0.722749,0.813547,0,1,1,1,stable,0.311387,-0.001921,0.469552,0.469552,0.276734,0.007454,1.342872
