t,S(t),C(t),effort(t),mean_abs_error,fluidity,entropy_S,gamma,En_mean(t),On_mean(t)
0,1.020069,0.707388,0,1.079599,1,0.196208,0.100000,1.100000,0.020401
0.050000,0.949851,0.707388,2.776681,1.004107,1,0.193276,0.223947,1.046650,0.042543
0.100000,0.872813,0.707388,0.926999,0.949925,1,0.190149,0.274028,0.997760,0.047835
0.150000,0.790471,0.707388,1.325768,0.892897,1,0.186908,0.372213,0.951742,0.058845
0.200000,0.705882,0.707388,1.901960,0.824451,0.993287,0.183685,0.598289,0.908915,0.084464
0.250000,0.623273,0.707388,0.561214,0.786825,0.993245,0.180640,0.669670,0.870302,0.083477
0.300000,0.539883,0.707388,0.260187,0.757455,0.993141,0.177667,0.704645,0.833541,0.076085
0.350000,0.458720,0.707388,0.681541,0.723331,0.993176,0.174867,0.814087,0.798019,0.074688
0.400000,0.384485,0.707388,0.678929,0.691996,0.993129,0.172386,0.938451,0.764160,0.072164
0.450000,0.317378,0.707388,0.326107,0.668315,0.992975,0.170207,1,0.731790,0.063476
0.500000,0.255595,0.707388,28.266136,0.692650,0.992858,0.589639,0.150359,0.700336,0.007686
0.550000,0.163225,0.707388,0.669463,0.661528,0.992826,0.599756,0.135189,0.665941,0.004413
0.600000,0.113130,0.707388,2.848204,0.625902,0.991903,0.597160,0.313750,0.633001,0.007099
0.650000,0.081892,0.707388,1.208235,0.595186,0.991356,0.599067,0.411446,0.601925,0.006739
0.700000,0.057499,0.707388,1.387577,0.565846,0.991147,0.563075,0.567646,0.572374,0.006528
0.750000,0.046557,0.707388,0.613099,0.538284,0.991188,0.554996,0.644321,0.544283,0.006000
0.800000,0.042141,0.707388,0.380889,0.512498,0.991143,0.522723,0.599918,0.517555,0.005056
0.850000,0.041576,0.707388,1.171722,0.485588,0.991247,0.514083,0.781408,0.492086,0.006498
0.900000,0.062623,0.707388,1.048719,0.455690,0.991355,0.489054,0.983451,0.468007,0.012317
0.950000,0.094648,0.707388,0.054562,0.427089,0.991248,0.476731,0.978072,0.445603,0.018514
1,0.123707,0.707388,43.916372,0.422347,0.991275,0.445454,0.100000,0.424821,0.002474
1.050000,0.102128,0.707388,2.851354,0.399208,0.991300,0.431301,0.223849,0.403780,0.004572
1.100000,0.148434,0.707388,2.596310,0.370233,0.987451,0.428009,0.462447,0.383961,0.013729
1.150000,0.209795,0.707388,1.660029,0.351233,0.988565,0.418974,0.348939,0.365874,0.014641
1.200000,0.245447,0.707388,1.309264,0.325636,0.989451,0.387822,0.471146,0.348764,0.023128
1.250000,0.304350,0.707388,1.134422,0.299546,0.989103,0.372335,0.606206,0.333197,0.036900
1.300000,0.366810,0.707388,0.784320,0.290981,0.989981,0.341107,0.715131,0.319523,0.052463
1.350000,0.427107,0.707388,0.691215,0.281064,0.990172,0.314028,0.826189,0.307791,0.070574
1.400000,0.486772,0.707388,0.430053,0.266654,0.990233,0.278395,0.900047,0.298111,0.087624
1.450000,0.538442,0.707388,0.517659,0.251678,0.990325,0.248636,1,0.290294,0.107688
1.500000,0.589349,0.707388,45.021602,0.272704,0.990239,0.215704,0.100000,0.284491,0.011787
1.550000,0.472184,0.707388,1.983546,0.256257,0.990359,0.188766,0.158442,0.271220,0.014963
1.600000,0.497740,0.707388,0.643386,0.240803,0.909838,0.210025,0.181488,0.258870,0.018067
1.650000,0.510666,0.707388,2.047799,0.216037,0.962242,0.220931,0.306962,0.247388,0.031351
1.700000,0.534147,0.707388,1.659327,0.188738,0.978803,0.227320,0.456962,0.237555,0.048817
1.750000,0.554336,0.707388,1.383892,0.180229,0.979276,0.233054,0.628007,0.229626,0.069625
1.800000,0.569901,0.707388,0.093248,0.183275,0.979876,0.233550,0.636703,0.223778,0.072572
1.850000,0.550938,0.707388,1.056873,0.188865,0.980366,0.237096,0.805991,0.218460,0.088810
1.900000,0.550056,0.707388,0.262796,0.192715,0.978768,0.246174,0.846824,0.214722,0.093160
1.950000,0.522915,0.707388,0.775330,0.212710,0.980424,0.258803,1,0.211522,0.104583
2,0.507171,0.707388,45.015444,0.200949,0.980274,0.275155,0.100000,0.209407,0.010143
2.050000,0.337217,0.707388,2.484457,0.186941,0.981252,0.295839,0.190023,0.199757,0.012816
2.100000,0.311703,0.707388,0.748394,0.176910,0.931652,0.368098,0.222900,0.190806,0.013896
2.150000,0.276329,0.707388,0.572346,0.168493,0.953571,0.427094,0.251463,0.182390,0.013897
2.200000,0.240634,0.707388,2.111850,0.162606,0.970952,0.473345,0.434648,0.174395,0.020918
2.250000,0.227970,0.707388,1.482202,0.175229,0.971940,0.516790,0.614317,0.167367,0.028009
2.300000,0.217119,0.707388,0.748572,0.176004,0.972239,0.539507,0.718899,0.161265,0.031217
2.350000,0.199924,0.707388,0.299406,0.170207,0.973224,0.556730,0.762306,0.155727,0.030481
2.400000,0.179735,0.707388,0.851820,0.198766,0.973933,0.561723,0.916564,0.150407,0.032948
2.450000,0.182317,0.707388,0.438913,0.217245,0.974612,0.568271,1,0.145552,0.036463
2.500000,0.180292,0.707388,0.223511,0.197779,0.974903,0.558301,0.960000,0.141224,0.034616
2.550000,0.165708,0.707388,0.296925,0.176040,0.975755,0.546317,0.908000,0.136963,0.030093
2.600000,0.153612,0.707388,0.248468,0.169271,0.976113,0.540109,0.866400,0.132550,0.026618
2.650000,0.146636,0.707388,0.334567,0.171021,0.976782,0.530630,0.813120,0.128076,0.023847
2.700000,0.140951,0.707388,0.285502,0.170296,0.977305,0.511909,0.770496,0.123601,0.021720
2.750000,0.139913,0.707388,0.386289,0.166325,0.977798,0.476192,0.716397,0.119178,0.020047
2.800000,0.139786,0.707388,0.332101,0.161073,0.978254,0.420542,0.673117,0.114841,0.018818
2.850000,0.144118,0.707388,0.451427,0.157522,0.978694,0.364262,0.618494,0.110621,0.017827
2.900000,0.149480,0.707388,0.391071,0.166593,0.979106,0.309652,0.574795,0.106532,0.017184
2.950000,0.159220,0.707388,0.333426,0.172462,0.979501,0.260455,0.539836,0.102596,0.017191
3,0.172659,0.707388,0.281581,0.175695,0.979871,0.224875,0.511869,0.098857,0.017676
3.050000,0.188906,0.707388,0.235873,0.176712,0.980221,0.204083,0.489495,0.095344,0.018494
3.100000,0.207020,0.707388,0.196197,0.175810,0.980557,0.209521,0.471596,0.092073,0.019526
3.150000,0.226056,0.707388,0.162204,0.173197,0.980879,0.225972,0.457277,0.089049,0.020674
3.200000,0.245091,0.707388,0.133395,0.169014,0.981186,0.246058,0.445822,0.086269,0.021853
3.250000,0.263227,0.707388,0.109196,0.163365,0.981478,0.268293,0.436657,0.083724,0.022988
3.300000,0.279607,0.707388,0.089013,0.156329,0.981753,0.287898,0.429326,0.081397,0.024009
3.350000,0.293426,0.707388,0.072274,0.147983,0.982012,0.306309,0.423461,0.079270,0.024851
3.400000,0.303947,0.707388,0.058449,0.138409,0.982253,0.316315,0.418768,0.077316,0.025457
3.450000,0.310523,0.707388,0.047066,0.128527,0.982479,0.317605,0.415015,0.075510,0.025774
3.500000,0.312616,0.707388,0.037767,0.121144,0.982689,0.315999,0.412012,0.073820,0.025760
3.550000,0.309822,0.707388,0.030447,0.113157,0.982886,0.311616,0.409609,0.072213,0.025381
3.600000,0.301889,0.707388,0.024505,0.108760,0.983071,0.280624,0.407688,0.070655,0.024615
3.650000,0.288740,0.707388,0.019877,0.103751,0.983247,0.248695,0.406150,0.069114,0.023454
3.700000,0.270478,0.707388,0.016521,0.098283,0.983417,0.229559,0.404920,0.067556,0.021904
3.750000,0.247396,0.707388,0.013951,0.092506,0.983582,0.221880,0.403936,0.065950,0.019986
3.800000,0.219974,0.707388,0.011920,0.086566,0.983745,0.240356,0.403149,0.064270,0.017736
3.850000,0.188863,0.707388,0.010310,0.080602,0.983907,0.284584,0.402519,0.062491,0.015204
3.900000,0.154872,0.707388,0.009022,0.081908,0.984070,0.347427,0.402015,0.060596,0.012452
3.950000,0.118934,0.707388,0.007980,0.085607,0.984232,0.417586,0.401612,0.058574,0.009553
4,0.082080,0.707388,0.007119,0.097486,0.984394,0.481152,0.401290,0.056418,0.006588
4.050000,0.045394,0.707388,0.006391,0.108726,0.984554,0.492693,0.401032,0.054130,0.003641
4.100000,0.009978,0.707388,0.005754,0.118990,0.984711,0.548790,0.400825,0.051718,0.000800
4.150000,-0.023099,0.707388,0.005179,0.128139,0.984861,0.590247,0.400660,0.049197,-0.001851
4.200000,-0.052837,0.707388,0.004641,0.136051,0.985005,0.622829,0.400528,0.046587,-0.004233
4.250000,-0.078349,0.707388,0.004121,0.142620,0.985141,0.639209,0.400423,0.043916,-0.006275
4.300000,-0.098899,0.707388,0.003605,0.147754,0.985268,0.642466,0.400338,0.041212,-0.007919
4.350000,-0.113931,0.707388,0.003240,0.151381,0.985387,0.637621,0.400270,0.038511,-0.009121
4.400000,-0.123092,0.707388,0.003148,0.153446,0.985499,0.669751,0.400216,0.035848,-0.009853
4.450000,-0.126250,0.707388,0.003063,0.153915,0.985605,0.681581,0.400173,0.033258,-0.010104
4.500000,-0.123499,0.707388,0.002972,0.152774,0.985706,0.656039,0.400138,0.030778,-0.009883
4.550000,-0.115155,0.707388,0.002866,0.150034,0.985806,0.534827,0.400111,0.028439,-0.009215
4.600000,-0.101743,0.707388,0.002738,0.145728,0.985905,0.484743,0.400089,0.026272,-0.008141
4.650000,-0.083977,0.707388,0.002851,0.139916,0.986004,0.425477,0.400071,0.024300,-0.006719
4.700000,-0.062729,0.707388,0.002999,0.132687,0.986104,0.369444,0.400057,0.022541,-0.005019
4.750000,-0.038989,0.707388,0.003139,0.124157,0.986205,0.324884,0.400045,0.021008,-0.003119
4.800000,-0.013822,0.707388,0.003410,0.114474,0.986306,0.280241,0.400036,0.019705,-0.001106
4.850000,0.011678,0.707388,0.003767,0.106097,0.986406,0.235805,0.400029,0.018630,0.000934
4.900000,0.036444,0.707388,0.004249,0.104234,0.986503,0.197787,0.400023,0.017775,0.002916
4.950000,0.059479,0.707388,0.004676,0.101680,0.986596,0.171178,0.400019,0.017122,0.004759
5,0.079907,0.707388,0.005031,0.098976,0.986684,0.145175,0.400015,0.016651,0.006393
5.050000,0.097002,0.707388,0.005297,0.104857,0.986768,0.121928,0.400012,0.016335,0.007760
5.100000,0.110214,0.707388,0.005459,0.110079,0.986846,0.107519,0.400010,0.016146,0.008817
5.150000,0.119175,0.707388,0.005506,0.114414,0.986919,0.100114,0.400008,0.016052,0.009534
5.200000,0.123692,0.707388,0.005431,0.117642,0.986989,0.096693,0.400006,0.016021,0.009895
5.250000,0.123718,0.707388,0.005232,0.119572,0.987056,0.095639,0.400005,0.016020,0.009898
