t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,0.000000,0.728068,0,0.000000,2,0.000019,0,0.000000,0.207297,0,1,0.100000,1.000000,0,0,0,1,1,1,1,0.000000,0.447059,0.447059,0.100000,0.000000,0.207297
0.100000,0.000000,0.734222,0,0.000000,2,0.000018,0.122399,0.000000,0.207847,0,1,0.100000,0.950000,0.122399,0,0,1,1,1,0.950000,0.000000,0.457040,0.457040,0.100000,0.000000,0.207847
0.200000,0.000000,0.736856,0.000000,0.000000,2,0.000018,0.119084,0.000000,0.208344,0,1,0.100000,0.902500,0.119084,1.223993,0,1,1,1,0.902500,0.000000,0.467047,0.467047,0.100000,0.000000,0.208344
0.300000,0.000000,0.735418,0.000000,0.000000,2,0.000018,0.114603,0.000000,0.208741,0,1,0.100000,0.857375,0.114603,-0.033156,0,1,1,1,0.857375,0.000000,0.477075,0.477075,0.100000,0.000000,0.208741
0.400000,0.000000,0.729986,0.000000,0.000000,2,0.000017,0.109194,0.000000,0.208997,0.000000,0.993307,0.100000,0.814506,0.109194,-0.044804,0,1,1,1,0.814506,0.000000,0.487118,0.487118,0.100000,0.000000,0.208997
0.500000,0.000000,0.721307,0.000000,0.000000,2,0.000017,0.103193,0.000000,0.209085,0.000000,0.993307,0.100000,0.773781,0.103193,-0.054090,0,1,1,1,0.773781,0.000000,0.497169,0.497169,0.100000,0.000000,0.209085
0.600000,0.000000,0.710651,0.000000,0.000000,2,0.000018,0.101232,0.000000,0.208997,0.000000,0.993307,0.100000,0.735092,0.101232,-0.060015,0,1,1,1,0.735092,0.000000,0.507222,0.507222,0.100000,0.000000,0.208997
0.700000,0.000001,0.699511,0.000000,0.000001,2,0.000018,0.103401,0.000000,0.208741,0.000000,0.993307,0.100000,0.698337,0.103401,-0.019611,0,1,1,1,0.698337,0.000000,0.517270,0.517270,0.100000,0.000000,0.208741
0.800000,0.000001,0.689257,0.000000,0.000004,2,0.000018,0.105406,0.000002,0.208344,0.000000,0.993307,0.100000,0.663420,0.105406,0.021696,0,1,1,1,0.663420,0.000000,0.527307,0.527307,0.100000,0.000002,0.208344
0.900000,-0.000003,0.680878,0.000000,0.000015,2,0.000017,0.107862,0.000007,0.207847,0.000000,0.993307,0.100000,0.630250,0.107862,0.020047,0,1,1,1,0.630249,-0.000000,0.537327,0.537327,0.100000,0.000007,0.207847
1,-0.000037,0.674910,-0.000000,0.000047,2,0.000018,0.112845,0.000024,0.207297,0.000000,0.993307,0.867385,0.598741,0.120741,0.024559,0,236.973100,1,1,0.598737,-0.000004,0.547323,0.547323,0.100000,0.000024,0.207297
1.100000,-0.000173,0.671516,-0.000000,0.000130,2,0.000019,0.124932,0.000068,0.206751,0.000000,0.993307,0.892498,0.568819,0.118695,0.049830,0,1413.318414,1,1,0.568800,-0.000019,0.557290,0.557290,0.100000,0.000068,0.206751
1.200000,-0.000572,0.670656,-0.000000,0.000319,2,0.000019,0.152209,0.000174,0.206260,0.000005,0.993307,0.875669,0.540423,0.122138,0.120871,0,1864.833479,1,1,0.540358,-0.000065,0.567220,0.567220,0.100000,0.000174,0.206260
1.300000,-0.001502,0.672215,-0.000000,0.000695,2,0.000019,0.206643,0.000397,0.205872,0.000033,0.993307,0.878742,0.513508,0.133180,0.272774,0,3594.917164,1,1,0.513335,-0.000173,0.577108,0.577108,0.100000,0.000397,0.205872
1.400000,-0.003291,0.676067,-0.000000,0.001374,2,0.000019,0.303133,0.000823,0.205623,0.000144,0.993307,0.849364,0.488041,0.161261,0.544337,0,3867.183385,1,1,0.487654,-0.000386,0.586947,0.586947,0.100000,0.000823,0.205623
1.500000,-0.006178,0.682056,-0.000001,0.002487,2,0.000019,0.457238,0.001570,0.205538,0.000421,0.993307,0.843862,0.463978,0.220662,0.964897,0,5326.166665,1,1,0.463240,-0.000737,0.596731,0.596731,0.100000,0.001570,0.205538
1.600000,-0.010122,0.689934,-0.000002,0.004169,2,0.000019,0.687313,0.002780,0.205623,0.000850,0.993307,0.803566,0.441246,0.279806,1.541051,0,7173.841879,1,1,0.440019,-0.001228,0.606455,0.606455,0.100000,0.002780,0.205623
1.700000,-0.014643,0.699279,-0.000003,0.006557,2,0.000019,1.006498,0.004624,0.205872,0.001199,0.993307,0.784509,0.419723,0.413582,2.300754,0,9162.700813,1,1,0.417918,-0.001804,0.616110,0.616110,0.100000,0.004624,0.205872
1.800000,-0.018810,0.709416,-0.000007,0.009801,2,0.000019,1.426418,0.007305,0.206260,0.001241,0.993307,0.730721,0.399230,0.613545,3.191847,0,6424.933107,1,1,0.396876,-0.002354,0.625693,0.625693,0.100000,0.007305,0.206260
1.900000,-0.021303,0.719398,-0.000011,0.014102,2,0.000019,1.787391,0.011071,0.206751,0.001277,0.993307,0.691389,0.379549,0.894367,4.199205,0,5446.846037,1,1,0.376842,-0.002706,0.635196,0.635196,0.100000,0.011071,0.206751
2,-0.020424,0.728068,-0.000019,0.019746,2,0.000019,1.675795,0.016230,0.207297,0.002408,0.993307,0.613864,0.360414,1.226905,3.609726,0,1050.985216,1,1,0.357781,-0.002633,0.644614,0.644614,0.100000,0.016230,0.207297
2.100000,-0.013970,0.734222,-0.000028,0.027151,4,0.000019,1.582970,0.023176,0.207846,0.006537,0.993306,0.530587,0.341506,1.316683,-1.115958,0,574.427711,1,1,0.339679,-0.001827,0.653940,0.653940,0.100000,0.023176,0.207846
2.200000,0.001098,0.736856,-0.000040,0.036934,4,0.000019,1.506869,0.032417,0.208344,0.016813,0.993304,0.399144,0.322402,1.495814,-0.928255,0,203.057616,1,1,0.322547,0.000146,0.663170,0.663170,0.100000,0.032417,0.208344
2.300000,0.029164,0.735418,-0.000052,0.050019,4,0.000019,1.447603,0.044655,0.208740,0.039328,0.993300,0.438683,0.302510,1.595889,-0.761006,0,123.326488,1,1,0.306432,0.003921,0.672296,0.672296,0.100000,0.044655,0.208740
2.400000,0.076617,0.729986,-0.000063,0.067828,4,0.000019,1.406834,0.060914,0.208994,0.086932,0.993291,0.764152,0.280987,1.600126,-0.592662,0,78.357325,1,1,0.291427,0.010440,0.681313,0.681313,0.100000,0.060914,0.208994
2.500000,0.152566,0.721307,-0.000071,0.092541,4,0.000019,1.384856,0.082724,0.209082,0.186682,0.993272,0.850022,0.256640,1.600126,-0.407689,0,134.028563,1,1,0.277701,0.021061,0.690216,0.690216,0.100000,0.082724,0.209082
