t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000001,0.991674,0,0.001002,0,0.000035,0,0.000457,1.339942,0,1,0.100000,0.493788,0,0,0,1,1,1,stable,0.493788,-0.000000,0.100000,0.100000,0.100000,0.000457,1.339942
0.100000,0.000416,0.992522,0,0.001477,0,0.000025,2.889882,0.000680,1.342872,0,1,0.100000,0.469025,2.889882,0,0,1,1,1,stable,0.469099,0.000073,0.223947,0.223947,0.120927,0.000680,1.342872
0.200000,0.000986,0.992728,-0.000000,0.002116,0,0.000024,1.077486,0.000988,1.345525,0,1,0.100000,0.445424,1.077486,28.898819,0,1,1,1,stable,0.445650,0.000225,0.274028,0.274028,0.141753,0.000988,1.345525
0.300000,0.001458,0.992063,-0.000004,0.002955,0,0.000023,1.534460,0.001403,1.347639,0.000000,0.993307,0.100000,0.422895,1.534460,-18.123957,0,1,1,1,stable,0.423386,0.000491,0.372213,0.372213,0.162379,0.001403,1.347639
0.400000,0.001559,0.990669,-0.000012,0.004047,0,0.000023,2.173528,0.001961,1.348999,0.000025,0.993307,0.100000,0.401319,2.173528,4.569734,0,1,1,1,stable,0.402256,0.000937,0.598289,0.598289,0.182707,0.001961,1.348999
0.500000,0.001328,0.989045,-0.000029,0.005502,0,0.000051,0.915923,0.002724,1.349468,0.000141,0.993307,0.100000,0.381233,0.915923,6.390689,0,1,1,1,stable,0.382219,0.000986,0.669670,0.669670,0.202643,0.002724,1.349468
0.600000,0.000962,0.987842,-0.000064,0.006999,0,0.000045,0.671224,0.003566,1.348999,0.000199,0.993307,0.100000,0.362465,0.671224,-12.576054,0,1,1,1,stable,0.363188,0.000723,0.704645,0.704645,0.222096,0.003566,1.348999
0.700000,0.000465,0.987566,-0.000075,0.008349,0,0.000105,1.114383,0.004441,1.347639,0.000187,0.993307,0.100000,0.344858,1.114383,-2.446992,0,1,1,1,stable,0.345087,0.000229,0.814087,0.814087,0.240981,0.004441,1.347639
0.800000,-0.000772,0.988351,-0.000039,0.009495,0,0.000053,1.131428,0.005363,1.345525,0.000169,0.993307,0.100000,0.328897,1.131428,4.431592,0,1,1,1,stable,0.327851,-0.001046,0.938451,0.938451,0.259218,0.005363,1.345525
0.900000,-0.003235,0.989907,0.000046,0.010370,3,0.000051,0.770283,0.006268,1.342872,0.000271,0.993307,0.100000,0.314905,0.770283,0.170446,0,1,1,1,stable,0.311374,-0.003531,1,1,0.276734,0.006268,1.342872
