t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),An_mean(t),fn_mean(t),spacing_gamma_bias,spacing_G_hint,spacing_planning_hint,best_pair_gamma,best_pair_G,best_pair_score,temporal_coherence,autocorr_tau,decorrelation_time,tau_S,tau_gamma,tau_A_mean,tau_f_mean
0,0,1,0,0.001002,0,0.000037,0,0.000457,1.532226,0,1,0.100037,0.493788,0,0,0,1,1,1,stable,0.493788,0,0.165478,0.165478,adaptive,0.100000,0.000457,1.532226,0,0,0,0.165478,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.000868,1.000000,0,0.002057,0,0.000048,1.708872,0.000961,1.535085,0,1,0.100030,0.444336,1.708872,0,0,1,1,1,stable,0.444409,0.000073,0.117617,0.129048,adaptive,0.120927,0.000961,1.535085,0,0,0,0.117617,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.200000,0.002503,0.999999,0,0.003730,0,0.000045,3.301541,0.001814,1.537949,0,1,0.100029,0.399391,3.301541,17.088721,0,1,1,1,stable,0.399980,0.000589,0.296176,0.325007,adaptive,0.141753,0.001814,1.537949,0,0,0,0.296176,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.300000,0.003814,0.999999,-0.000004,0.006297,0,0.000045,0.871164,0.003238,1.540815,0.000000,0.993307,0.100034,0.358880,0.871164,15.926690,0,1,1,1,stable,0.360078,0.001198,0.321871,0.353269,adaptive,0.162379,0.003238,1.540815,0,0,0,0.321871,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.400000,0.003575,0.999998,-0.000032,0.009809,0,0.000044,2.946833,0.005394,1.543680,0.000640,0.993307,0.100002,0.321441,2.946833,-24.303774,0,1,1,1,stable,0.324264,0.002822,0.582806,0.639797,resonance,0.182707,0.005394,1.543680,0,0,0,0.582806,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.500000,0.004219,0.999997,-0.000078,0.015347,0,0.000073,1.891571,0.008929,1.546540,0.006382,0.993306,0.100001,0.289133,1.891571,20.756690,0,1,1,1,stable,0.292294,0.003161,0.507644,0.557376,tanh,0.202643,0.008929,1.546540,0,0,0,0.507644,tanh,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.600000,0.004853,0.999996,-0.000239,0.020023,0,0.000157,2.501385,0.012884,1.549393,0.002101,0.993307,0.100000,0.259424,2.501385,-10.552612,0,1,1,1,stable,0.263576,0.004152,0.670521,0.736448,spiral_log,0.222096,0.012884,1.549393,0,0,0,0.670521,spiral_log,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.700000,0.003163,0.999994,-0.000227,0.025905,3,0.000087,2.527923,0.018622,1.552236,0.001068,0.993307,0.100000,0.234272,2.527923,6.098132,0,1,1,1,stable,0.237890,0.003619,0.841613,0.915553,resonance,0.240981,0.018622,1.552236,0,0,0,0.841613,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.800000,-0.004115,0.999992,-0.000059,0.032794,3,0.000144,1.588076,0.025696,1.555070,0.004269,0.993306,0.100009,0.218667,1.588076,0.265383,0,1,1,1,stable,0.214687,-0.003981,0.890982,0.954191,resonance,0.259218,0.025696,1.555070,0,0,0,0.890982,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.900000,-0.013982,0.999991,0.000357,0.033006,1,0.000082,1.560468,0.029304,1.557896,0.037533,0.993300,0.100041,0.202687,1.560468,-9.398474,0,1,1,1,stable,0.192574,-0.010113,1,1,resonance,0.276734,0.029304,1.557896,0,0,0,1,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
